Material,Precursor 1,Precursor 2,Precursor 3,Precursor 4,GPC [Å],T [°C],Refs.
Sc 2 O 3,Sc(thd) 3,O 3,,,0.13,335-375,[125]
,Sc(Cp) 3,H 2 O,,,0.75,250-350,[125]
,Sc( iPr Cp) 3,O 3,,,0.60-1.00,250-375,[207]
,Sc( iPr2 amd) 3,H 2 O,,,0.3,290,[104]
,Sc( Me Cp) 3,H 2 O,,,0.65,300,[208-210]
,Sc( Me2 pz)( Me Cp) 2,O 3,,,1.09-1.94,"225,275",[211]
ScAlO 3,Sc( Me Cp) 3,TMA,H 2 O,,0.65,300,[194]
YScO 3,Y(thd) 3,Sc(thd) 3,O 3,,0.18,335-350,[192]
,Y( Me Cp) 3,Cp 3 Sc,H 2 O,,1.07,300,[192]
DyScO 3,Sc(thd) 3,Dy(thd) 3,O 3,,0.43,350,[193]
Y 2 O 3,Y(thd) 3,O 3,,,0.22-0.23,250-300,"[50,58,157,160,189,212-214]"
,Y(thd) 3,O 2 plasma,,,0.3,200-300,"[158,159,206]"
,Y(Cp) 3,H 2 O,,,1.20-1.30,200-400,[215]
,Y( Me Cp) 3,H 2 O,,,1,250-325,[215]
,Y( Et Cp) 3,H 2 O,,,1.7,200-400,"[207,216]"
,Y( iPr2 amd) 3,H 2 O,,,0.8,150-280,[100]
,Y( iPr Cp) 3,O 3,,,1.7,245-300,[128]
,Y( iPr2 amd)( Et Cp) 2,H 2 O,,,1.1,300-450,[217]
,Y( iPr2 amd)( Et Cp) 2,O 3,,,1.1,300-450,[217]
,Y( iPr2 amd)( Et Cp) 2,O 2,,,0.9,300-450,[217]
,Y( iPr2 amd)( iPr Cp) 2,H 2 O,,,"0.40, 1.30",350-450,[117-119]
,Y( iPr2 amd)( iPr Cp) 2,O 3,,,_,350,[118]
,Y(dpdmg) 3,H 2 O,,,1.1,175-250,[54]
,Y( Bu Cp) 3,H 2 O,,,1.40-1.70,230,[218]
,Y( iPr2 amd)( Et Cp) 2,H 2 O,,,0.74,150-275,[120]
,Y( iPr2 amd)( Et Cp) 2,O 2 plasma,,,0.83,150-275,[120]
,Y( iPr2 amd)( Et Cp) 2,H 2 O plasma,,,1.03,150-275,[120]
,Y( iPr2 famd) 3,H 2 O,,,1.36,150-325,[53]
,Y( t Bu2 famd) 3,H 2 O,,,0.67,200-325,[114]
,Y( t Bu Cp) 3,H 2 O,,,1.7,250,[219]
YMnO 3,Y(thd) 3,Mn(thd) 3,O 3,,0.18-0.60,250-300,"[220,221]"
,Y(thd) 3,Mn(thd) 3,O 2,,0.25-0.30,250,[222]
YAlO 3,Y( Et Cp) 3,TMA,H 2 O,,1.55,300,[223]
YVO 4,Y(thd) 3,VO(thd) 2,O 3,,0.15-0.17,260-300,[141]
Y 3 Ga 5 O 12,Y(thd) 3,Et 3 Ga,O 3,,0.23,350,[161]
Y 2 O 2 S,Y(thd) 3,H 2 S,,,_,350-450,[131]
Y 2 O 3-x S x,Y( Me Cp) 3,H 2 O,H 2 S,,_,3 0 0,[ 184]
YF 3,Y(thd) 3,TiF 4,,,1.10-1.70,225-325,[132]
La 2 O 3,La(thd) 3,O 3,,,0.36,180-425,"[28,224-226]"
,La(thd) 3,H 2 O,,,0.30-0.50,230-350,[227]
,La(thd) 3 -DEMA,O 3,,,0.4,225-250,[228]
,La( iPr Cp) 3,H 2 O,,,0.1,280-480,[229-232]
,La( iPr Cp) 3,O 3,,,0.30-0.60,150-250,"[207,233]"
,La( iPr Cp) 3,O 2 plasma,,,0.6,300-350,"[230,234-238]"
,La(Cp) 3,H 2 O,,,_,260,"[225,239,240]"
,La(Cp) 3,O 2 plasma,,,0.5,150,[241]
,La(tmsa) 3,H 2 O,,,0.43,200-300,[242-245]
,La( iPr2 amd) 3,H 2 O,,,1.05,200-300,[129]
,[La( iPr2 famd) 3 ],H 2 O,,,1.7,200-250,[113]
,La( iPr2 famd) 3,O 3,,,1.20-1.40,200-250,[113]
,La( iPr2 famd) 3,O 2,,,0.4,300,[246]
,La( iPr2 amd)( iPr Cp) 2,H 2 O,,,1.20-3.00,200-300,[116]
,La( iPr2 amd)( iPr Cp) 2,O 3,,,0.60-2.10,200-325,[116]
,La( iPr2 amd)( iPr Cp) 2,H 2 O+ O 3,,,0.70-1.80,200-325,[116]
,La( iPr2 amd)( iPr Cp) 2,EtOH,,,0.50-1.70,200-325,[116]
LaAlO 3,La(thd) 3,Al(acac) 3,O 3,,0.36-0.39,325-400,[247]
,La(thd) 3,TMA,H 2 O,,0.55,270,[248]
,La(thd) 3,TMA,O 3,,0.64,250,[249]
,La(tmsa) 3,TMA,H 2 O,,0.58,225-250,[244]
,La( iPr2 amd) 3,TMA,H 2 O,,0.8,300-330,[250]
,La( iPr2 famd) 3,TMA,H 2 O,,2.8,300-330,[251]
,La( iPr Cp) 3,TMA,H 2 O,,0.12,300,"[252,253]"
,LaAl(O iPr ) 6 ( iPr OH)] 2,H 2 O,,,0.10-0.50,160-300,[138]
LaNiO 3,La(thd) 3,Ni(thd) 2,O 3,,0.08-0.26,215-400,[60]
,La(thd) 3,Ni(acac) 2,O 3,,0.31,225,"[195,254]"
LaCoO 3,La(thd) 3,Co(thd) 2,O 3,,0.35,200-400,[188]
LaMnO 3,La(thd) 3,Mn(thd) 2,O 3,,0.10-0.23,250-325,"[196,221]"
LaGaO 3,La(thd) 3,Ga(acac) 3,O 3,,0.38,325-400,[197]
LaFeO 3,La(thd) 3,Fe(thd) 3,O 3,,0.20 -0.30,200-360,[200]
LaLuO 3,La(thd) 3,Lu(thd) 3,O 3,,,300,[33]
,La( iPr2 amd) 3,Lu( Et famd) 3,H 2 O,,1.2,300,[33]
LaScO 3,La( iPr2 amd) 3,Sc( Et amd) 3,H 2 O,,1.1,300,[33]
LaYO 3,La( iPr2 amd) 3,Y( iPr amd) 3,H 2 O,,0.8,280,[33]
HfLaO x,La( iPr Cp) 3,TEMA-Hf,H 2 O,,1.4,300,[229]
,La( iPr Cp) 3,TEMA-Hf,O 3,,NA,225,[207]
,La( iPr Cp) 3,TEMA-Hf,O 2 plasma,,0.5,"225,300-350",[234]
,La( iPr2 famd) 3,TEMA-Hf,O 3,,_,265,[255]
LiLaO 2,Li(thd),La(thd) 3,O 3,,0.20-0.30,225,[256]
LaWO 4,La(thd) 3,W( t Bu N) 2 (Me 2 N) 2,O 3,H 2 O,0.48-0.58,250-375,[198]
LaPO 4,La(thd) 3,TMPO,H 2 O,O 3,0.78,275,[257]
LaCaPO 4,La(thd) 3,Ca(thd) 2,TMPO,H 2 O /O 3,0.78,275,[257]
La 2 CuO 4,La(thd) 3,Cu(acac) 2,O 3,,0.4,210-250,[258]
LaVO 4,La(thd) 3,VO(acac) 2,,,_,270,[259]
