Material,Precursor 1,Precursor 2,Precursor 3,Precursor 4,GPC [Å],T [°C],Refs.
,Ce( iPr Cp) 3,O 2 plasma,,,0.35,250,[269]
,Ce( iPr Cp) 3,H 2 O,,,0.20,250,[270]
,Ce( iPr2 amd)( iPr Cp) 2,H 2 O,,,1.90,240,[115]
,Ce( iPr2 amd) 3,O 3,,,2.80,210-270,[105]
,Ce(dpdmg) 3,H 2 O,,,2.10,160,[124]
,Ce( iPr2 famd)( iPr Cp) 2,H 2 O,,,1.50,245,[271]
CeO 2-Y 2 O 3,Ce(thd) 4,Y(thd) 3,O 3,,0.41-0.53,300,"[136,182]"
CeGdO 3,Ce(thd) 4,Gd(thd) 3,O 3k,,0.32,250,[272]
CeVO 4,Ce(thd) 4,VO(acac) 2,,,_,270,[259]
CeFeO x,Ce(thd) 4,Fe(CP) 2,,,_,270,[273]
CeMnO 3,Ce(thd) 4,Mn(thd) 3,,,_,270,[274]
Pr 2 O 3,Pr(tmsa) 3,H 2 O,,,0.15-2.90,200-400,[94]
,Pr(mmp) 3,H 2 O,,,0.10-0.70,200-350,[96]
,Pr( Et Cp) 3,H 2 O,,,0.70,130,[275]
,Pr( iPr2 amd)( iPr Cp) 2,H 2 O,,,1.47-1.66,200-300,[118]
Pr x Al 2-x O 3,Pr( iPr2 amd) 3,TMA,H 2 O,,0.8-1.0,295,[102]
,[PrAl(OPr i ) 6 (Pr i OH)] 2,H 2 O,,,_,180-350,[276]
,Pr( iPr Cp) 3,TMA,H 2 O,,1.70,250-350,[277]
Nd 2 O 3,Nd(thd) 3,O 3,,,0.44-0.45,310,"[82,84,140,214,278]"
NdAlO 3,Nd(thd) 3,O 3,TMA,H 2 O,0.53,300,[126]
,[NdAl(O i Pr) 6 (Pr i OH)] 2,H 2 O,,,_,180-350,[276]
NdNiO 3,Nd( iPr Cp) 3,Ni( t Bu 2 amd) 2,O 3,,0.36,160,[279]
Sm 2 O 3,Sm(thd) 3,O 3,,,0.36,300,[82]
SmMnO 3,Sm(thd) 3,Mn(thd) 2,O 3,,0.23,275,[221]
Eu 2 O 3,Eu(thd) 3,O 3,,73,0.32,300,"[82,280-284]"
Eu x Ti y O z,Eu(thd) 3,O 3,TiCl 4,H 2 O,0.38-0.45,300,[285]
Eu x Ti y PO z,Eu(thd) 3,O 3,TiCl 4 +H 2 O,M e 3 PO 4,0.80-1.00,300,[286]
Gd 2 O 3,Gd(thd) 3,O 3,,,0.31,300,[82]
,Gd( Me Cp) 3,H 2 O,,,1.00-3.20,175-300,[83]
,Gd( R Cp) 3,H 2 O,,,1.00-3.20,,"[287,288]"
,Gd(mmp) 3,H 2 O,,,0.20-1.00,200-300,[96]
,Gd(dpdmg) 3,H 2 O,,,1.00-1.10,175-350,"[107,109,289,290]"
,Gd( tBu2 amd) 3,H 2 O,,,0.26-0.49,350-400,"[86,97,291,292]"
,Gd( iPr Cp) 3,O 2 plasma,,,1.40,250,[293]
,Gd( iPr Cp) 3,H 2 O,,,0.80,250,"[208,209]"
,Gd( iPr Cp) 3,O 3,,,0.20,250,[294]
,Gd( iPr2 amd)( iPr Cp) 2,H 2 O,,,1.16-1.38,200-250,[118]
GdAlO 3,Gd( iPr Cp) 3,TMA,O 3,,1.75-2.75,200-350,[295]
,Gd( iPr Cp) 3,TMA,H 2 O,,4.50-5.00,200-350,[295]
ZrO 2 -Gd 2 O 3,Zr( Me Cp) 2 Me(OMe),Gd(thd) 3,O 3,,0.39-0.53,300,[296]
GdScO 3,Gd( iPr2 amd) 3,Sc( Et2 amd) 3,H 2 O,,2.00,310,[103]
,Gd(thd) 3,Sc(thd) 3,O 3,,0.21,300,[297]
,Gd( iPr Cp) 3,Sc( Me Cp) 3,H 2 O,,2.20,300,"[194,209]"
GdFeO 3,GdFe(O t Bu) 6 (C 5 H 5 N) 2,O 3,,,0.20-0.30,200,[298]
GdCoO 3,Gd(thd) 3,Co(thd) 2,O 3,,0.24,300,[202]
Gd 3 Ga 5 O 12,Gd(thd) 3,TEGa,O 3,,0.19,350,[185]
Gd 0.9 Ca 0.1 CoO 3,Gd(thd) 3,Co(thd) 2,Ca(thd) 2,O 3,0.30,300,[202]
GdN,Gd( Me Cp) 3,N 2 plasma,,,0.33,150-300,[62]
GdF 3,Gd(thd) 3,NH 4 F,,,0.26,300,[63]
Tb 2 O 3 -Al 2 O 3,Tb(thd) 3,TMA,O 3,,_,350,[299]
,,,,,,,(Continued)
