idx,raw_ref,best_doi,best_title,best_container_title,best_year,best_volume,best_page,best_article_number,score,decision
1,"[1] T. Suntola, Sci Rep 1989, 4, 261.",10.1016/s0920-2307(89)80006-4,Atomic layer epitaxy,Materials Science Reports,1989,4,261-312,,45,accepted
2,"[2] H. H. Sønsteby, A. Yanguas-Gil, J. W. Elam, J Vac Sci Technol A 2020, 38, 020804.",10.1116/1.5140603,Consistency and reproducibility in atomic layer deposition,"Journal of Vacuum Science &amp; Technology A: Vacuum, Surfaces, and Films",2020,38,,20804,50,accepted
3,"[3] N. E. Richey, C. De Paula, S. F. Bent, J. Chem. Phys. 2020, 152, 040902.",10.1063/1.5133390,Understanding chemical and physical mechanisms in atomic layer deposition,The Journal of Chemical Physics,2020,152,,40902,70,accepted
4,"[4] Y. Zhao, L. Zhang, J. Liu, K. Adair, F. Zhao, Y. Sun, T. Wu, X. Bi, K. Amine, J. Lu, X. Sun, Chem. Soc. Rev. 2021, 50, 3889.",10.1039/d0cs00156b,Atomic/molecular layer deposition for energy storage and conversion,Chemical Society Reviews,2021,50,3889-3956,,50,accepted
5,"[5] T. S. Tripathi, M. Karppinen, Adv. Mater. Interfaces 2017, 4, 1700300.",10.1002/admi.201700300,Atomic Layer Deposition of p‐Type Semiconducting Thin Films: a Review,Advanced Materials Interfaces,2017,4,,1700300,50,accepted
6,"[6] M. Leskelä, M. Mattinen, M. Ritala, J. Vac. Sci. Technol. B 2019, 37, 030801.",10.1116/1.5083692,Review Article: Atomic layer deposition of optoelectronic materials,"Journal of Vacuum Science &amp; Technology B, Nanotechnology and Microelectronics: Materials, Processing, Measurement, and Phenomena",2019,37,,30801,50,accepted
7,"[7] V. Zardetto, B. L. Williams, A. Perrotta, F. Di Giacomo, M. A. Verheijen, R. Andriessen, W. M. M. Kessels, M. Creatore, Sustain. Energy Fuels 2017, 1, 30.",10.1039/c6se00076b,"Atomic layer deposition for perovskite solar cells: research status, opportunities and challenges",Sustainable Energy &amp; Fuels,2017,1,30-55,,35,accepted
8,"[8] S. Seo, S. Jeong, H. Park, H. Shin, N. G. Park, Chem. Commun. 2019, 55, 2403.",10.1039/c8cc09578g,Atomic layer deposition for efficient and stable perovskite solar cells,Chemical Communications,2019,55,2403-2416,,70,accepted
9,"[9] J. A. Raiford, S. T. Oyakhire, S. F. Bent, Energy Environ. Sci. 2020, 13, 1997.",10.1039/d0ee00385a,Applications of atomic layer deposition and chemical vapor deposition for perovskite solar cells,Energy &amp; Environmental Science,2020,13,1997-2023,,50,accepted
10,"[10] T. Jussila, A. Philip, T. Tripathi, K. Nielsch, M. Karppinen, Appl. Phys. Rev. 2023, 10, 41313.",10.1063/5.0172732,"Atomic layer deposition of magnetic thin films: Basic processes, engineering efforts, and road forward",Applied Physics Reviews,2023,10,,41313,35,accepted
11,"[11] J. P. Niemelä, A. J. Karttunen, M. Karppinen, J. Mater. Chem. C 2015, 3, 10349.",10.1039/c5tc01643f,Inorganic–organic superlattice thin films for thermoelectrics,Journal of Materials Chemistry C,2015,3,10349-10361,,70,accepted
12,"[12] M. Madadi, J. Heiska, J. Multia, M. Karppinen, ACS Appl. Mater. Interfaces 2021, 13, 56793.",10.1021/acsami.1c17519,Atomic and Molecular Layer Deposition of Alkali Metal Based Thin Films,ACS Applied Materials &amp; Interfaces,2021,13,56793-56811,,50,accepted
13,"[13] D. J. Hagen, M. E. Pemble, M. Karppinen, Appl. Phys. Rev. 2019, 6, 041309.",10.1063/1.5087759,Atomic layer deposition of metals: Precursors and film growth,Applied Physics Reviews,2019,6,,41309,50,accepted
14,"[14] T. Tynell, M. Karppinen, Semicond. Sci. Technol. 2014, 29, 043001.",10.1088/0268-1242/29/4/043001,Atomic layer deposition of ZnO: a review,Semiconductor Science and Technology,2014,29,43001,,50,accepted
15,"[15] J. P. Niemelä, G. Marin,M. Karppinen, Semicond. Sci. Technol. 2017, 32, 093005.",10.1088/1361-6641/aa78ce,Titanium dioxide thin films by atomic layer deposition: a review,Semiconductor Science and Technology,2017,32,93005,,50,accepted
16,"[16] G. Dingemans, W. M. M. Kessels, J Vac Sci Technol A 2012, 30, 040802.",10.1116/1.4728205,Status and prospects of Al2O3-based surface passivation schemes for silicon solar cells,"Journal of Vacuum Science &amp; Technology A: Vacuum, Surfaces, and Films",2012,30,,40802,50,accepted
17,"[17] J. C. G. Bünzli, Coord. Chem. Rev. 2015, 19, 293.",10.1134/s1070328415050073,"Tin(IV) complexes with 2-hydroxybenz(2-hydroxynaphth)aldehyde nicotinoylhydrazones (H2Ns, H2Nnf). Molecular and crystal structures of [SnCl3(HNnf)] · 2DMF",Russian Journal of Coordination Chemistry,2015,41,293-299,,30,low_confidence
18,"[18] A. Ghazy, M. Safdar, M. Lastusaari, H. Savin, M. Karppinen, Sol. Energy Mater. Sol. Cells 2021, 230, 111234.",10.1016/j.solmat.2021.111234,Advances in upconversion enhanced solar cell performance,Solar Energy Materials and Solar Cells,2021,230,111234,111234,65,accepted
19,"[19] J. C. G. Bünzli, S. V. Eliseeva, Chem. Sci. 2013, 4, 1939.",10.1039/c3sc22126a,Intriguing aspects of lanthanide luminescence,Chemical Science,2013,4,1939,,45,accepted
20,"[20] T. Behrsing, G. B. Deacon, P. C. Junk, in R E-B C.Inhib, (Eds.: M. Forsyth, B. Hinton), Woodhead Publishing, Cambridge, UK 2014, pp. 1–37.",10.1533/9780857093585.1,"The chemistry of rare earth metals, compounds, and corrosion inhibitors",Rare Earth-Based Corrosion Inhibitors,2014,,Jan-37,,25,low_confidence
21,"[21] S. V. Eliseeva, Luminescence of Lanthanide Ions in Coordination Compounds and Nanomaterials (Ed.: A. Bettencourt-Dias), Wiley, Hoboken, New Jersey 2015.",10.14713/njs.v1i1.5,REVIEW: NEW JERSEY WOMEN'S HISTORY (WEBSITE),New Jersey Studies: An Interdisciplinary Journal,2015,1,196-198,,35,accepted
22,"[22] Y. Charreire, A. Marbeuf, G. Tourillon, M. Leskelä, L. Niinistö, E. Nykänen, P. Soininen, O. Tolonen, J. Electrochem. Soc. 1992, 139, 619.",10.1149/1.2069267,EXAFS Study of Terbium Activated Zinc Sulfide Thin Films,Journal of The Electrochemical Society,1992,139,619-621,,50,accepted
23,"[23] Y. Charreire, O. Tolonen-Kivimäki, E. Nykänen, M. Leskelä, L. Niinistö, D. Bonnin, O. Heckmann, Thin Solid Films 1994, 247, 151.",10.1016/0040-6090(94)90792-7,EXAFS studies of rare earth doped calcium sulphide thin films,Thin Solid Films,1994,247,151-155,,65,accepted
