"Title","support material","ald reactants (precursors)","deposition temperature [°c]","reported coating thickness [nm]","growth per cycle (gpc) [nm]","research problem"
"Atomic scale surface engineering of micro- to nano-sized pharmaceutical particles for drug delivery applications - Contribution 1","lactose","TMA/H2O","30","2.5-11.0","0.47-0.73","Establishing low-temperature ALD as a viable platform for pharmaceutical coating"
"Nanoengineering of Crystal and Amorphous Surfaces of Pharmaceutical Particles for Biomedical Applications - Contribution 1","lactose","TMA/H2O","30","2.5-11.0","0.47-0.73","Establishing low-temperature ALD as a viable platform for pharmaceutical coating"
"Nanoengineering of Crystal and Amorphous Surfaces of Pharmaceutical Particles for Biomedical Applications - Contribution 2","lactose","TMA/O3","30","3.8-10.3","0.47-1.00","Establishing low-temperature ALD as a viable platform for pharmaceutical coating"
"Atomic scale surface engineering of micro- to nano-sized pharmaceutical particles for drug delivery applications - Contribution 2","budesonide","TMA/H2O","40","0.8-2.0","0.20-0.33","Establishing low-temperature ALD as a viable platform for pharmaceutical coating"
"Controlled Pulmonary Delivery of Carrier-Free Budesonide Dry Powder by Atomic Layer Deposition - Contribution 1","budesonide","TMA/O3","40","20.0-50.0","1.00-2.00","Establishing low-temperature ALD as a viable platform for pharmaceutical coating"
"Drug powders with tunable wettability by atomic and molecular layer deposition: From highly hydrophilic to superhydrophobic - Contribution 1","budesonide","TMA/O3","40","20.0-50.0","1.00-2.00","Establishing low-temperature ALD as a viable platform for pharmaceutical coating"
"Tailoring the flow properties of inhaled micronized drug powders by atomic and molecular layer deposition - Contribution 1","budesonide","TMA/O3","40","20.0-50.0","1.00-2.00","Establishing low-temperature ALD as a viable platform for pharmaceutical coating"
"Controlled Pulmonary Delivery of Carrier-Free Budesonide Dry Powder by Atomic Layer Deposition - Contribution 2","budesonide","TiCl4/H2O","40","3.0-15.0","0.30-0.32","Establishing low-temperature ALD as a viable platform for pharmaceutical coating"
"Drug powders with tunable wettability by atomic and molecular layer deposition: From highly hydrophilic to superhydrophobic - Contribution 2","budesonide","TiCl4/H2O","40","3.0-15.0","0.30-0.32","Establishing low-temperature ALD as a viable platform for pharmaceutical coating"
"Tailoring the flow properties of inhaled micronized drug powders by atomic and molecular layer deposition - Contribution 2","budesonide","TiCl4/H2O","40","3.0-15.0","0.30-0.32","Establishing low-temperature ALD as a viable platform for pharmaceutical coating"
"Controlled Pulmonary Delivery of Carrier-Free Budesonide Dry Powder by Atomic Layer Deposition - Contribution 3","budesonide","SiCl4/H2O","40","1.5-10.0","0.10-0.15","Establishing low-temperature ALD as a viable platform for pharmaceutical coating"
"Drug powders with tunable wettability by atomic and molecular layer deposition: From highly hydrophilic to superhydrophobic - Contribution 3","budesonide","SiCl4/H2O","40","1.5-10.0","0.10-0.15","Establishing low-temperature ALD as a viable platform for pharmaceutical coating"
