support_value,precursors_value,temp_num,thick_num,gpc_num_nm,gpc_class
budesonide,SiCl4/H2O,40,1.5,0.1,n/a
budesonide,SiCl4/H2O,40,1.5,0.1,n/a
budesonide,SiCl4/H2O,40,1.5,0.1,n/a
budesonide,TMA/H2O,40,0.8,0.2,slow
budesonide,TiCl4/H2O,40,3,0.3,n/a
budesonide,TiCl4/H2O,40,3,0.3,n/a
budesonide,TiCl4/H2O,40,3,0.3,n/a
lactose,TMA/H2O,30,2.5,0.47,average
lactose,TMA/H2O,30,2.5,0.47,average
lactose,TMA/O3,30,3.8,0.47,average
myoglobin,TMA/H2O,30,8.3,0.21,slow
posaconazole/HPMCAS,TMA/H2O,35,12,0.4,average
posaconazole/HPMCAS,TMA/H2O,35,8,0.4,average
