support_value,precursors_value,temp_num,thick_num,gpc_num_nm,gpc_class
lactose,TMA/H2O,30,2.5-11.0,0.47-0.73,average
lactose,TMA/H2O,30,2.5-11.0,0.47-0.73,average
lactose,TMA/O3,30,3.8-10.3,0.47-1.00,average
budesonide,TMA/H2O,40,0.8-2.0,0.20-0.33,slow
budesonide,TMA/O3,40,20.0-50.0,1.00-2.00,fast
budesonide,TMA/O3,40,20.0-50.0,1.00-2.00,fast
budesonide,TMA/O3,40,20.0-50.0,1.00-2.00,fast
budesonide,TiCl4/H2O,40,3.0-15.0,0.30-0.32,n/a
budesonide,TiCl4/H2O,40,3.0-15.0,0.30-0.32,n/a
budesonide,TiCl4/H2O,40,3.0-15.0,0.30-0.32,n/a
budesonide,SiCl4/H2O,40,1.5-10.0,0.10-0.15,slow
budesonide,SiCl4/H2O,40,1.5-10.0,0.10-0.15,slow
budesonide,SiCl4/H2O,40,1.5-10.0,0.10-0.15,slow
indomethacin,TMA/H2O,50,30.0-35.0,0.26-0.30,slow
myoglobin,TMA/H2O,30,8.3,0.21,slow
