application,dopant,n_hosts
Electrolyte,Y,2
Gate dielectrics,La,2
Interphase,Dy,1
Interphase,La,1
Interphase,Y,1
Luminescence,Er,12
Magnetics,Dy,1
Magnetics,Er,1
Magnetics,Eu,1
Magnetics,Ho,1
Magnetics,La,1
Magnetics,Nd,1
Magnetics,Pr,1
Magnetics,Sm,1
Magnetics,Tb,1
Magnetics,Yb,1
Memory,Gd,2
Memory,La,2
Memory,Y,2
Optoelectronics,La,1
Thermometry,Dy,1
Thermometry,Er,1
Thermometry,Eu,1
Thermometry,Ho,1
Thermometry,Nd,1
Thermometry,Sm,1
Thermometry,Tb,1
Thermometry,Tm,1
Thermometry,Yb,1
Waveguides,Er,1
Waveguides,Yb,1
