"Title","host material","dopant","application","research problem"
"EXAFS Study of Terbium Activated Zinc Sulfide Thin Films - Contribution 1","ZnS","Tb","Luminescence","Mapping dopant–host combinations in ALD thin films"
"EXAFS studies of rare earth doped calcium sulphide thin films - Contribution 1","CaS","Eu, Ce, Tb","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Tuning of Emission Wavelength of CaS:Eu by Addition of Oxygen Using Atomic Layer Deposition - Contribution 1","CaS","Tb, Ce, Eu","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Speciation of activators in electroluminescent thin films: an EXAFS study of cerium and terbium doped strontium sulfide - Contribution 1","SrS","Ce, Tb","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Erbium-Doped Waveguides Fabricated With Atomic Layer Deposition Method - Contribution 1","Al2O3","(Er,Yb), Yb, Er","Luminescence, Waveguides","Mapping dopant–host combinations in ALD thin films"
"Near-infrared electroluminescence from atomic layer doped Al2O3:Yb nanolaminate films on silicon - Contribution 1","Al2O3","Er, (Er,Yb), Yb","Luminescence, Waveguides","Mapping dopant–host combinations in ALD thin films"
"Energy Transfer Under Electrical Excitation and Enhanced Electroluminescence in the Nanolaminate Yb,Er Co‐Doped Al<sub>2</sub>O<sub>3</sub> Films - Contribution 1","Al2O3","(Er,Yb), Yb, Er","Luminescence, Waveguides","Mapping dopant–host combinations in ALD thin films"
"Optical and structural investigations of annealing impact on phase separation of Erbium-doped Al2O3 layers - Contribution 1","Al2O3","(Er,Yb), Yb, Er","Luminescence, Waveguides","Mapping dopant–host combinations in ALD thin films"
"Red Y2O3:Eu-Based Electroluminescent Device Prepared by Atomic Layer Deposition for Transparent Display Applications - Contribution 1","Y2O3","Eu, Er","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Controlled erbium incorporation and photoluminescence of Er-doped Y2O3 - Contribution 1","Y2O3","Eu, Er","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Er coordination in Y2O3 thin films studied by extended x-ray absorption fine structure - Contribution 1","Y2O3","Eu, Er","Luminescence","Mapping dopant–host combinations in ALD thin films"
"Nanostructure and temperature-dependent photoluminescence of Er-doped Y2O3 thin films for micro-optoelectronic integrated circuits - Contribution 1","Y2O3","Eu, Er","Luminescence","Mapping dopant–host combinations in ALD thin films"
