host,n_apps,application,dopant
Al₂O₃,2,Waveguides,Er
Al₂O₃,2,Waveguides,Yb
Al₂O₃,2,Waveguides,(Er,Yb)
Al₂O₃,2,Luminescence,Er
Al₂O₃,2,Luminescence,Yb
Al₂O₃,2,Luminescence,(Er,Yb)
ZrO₂,2,Electrolyte,Y
ZrO₂,2,Electrolyte,La
ZrO₂,2,Electrolyte,Dy
ZrO₂,2,Interphase,Y
ZrO₂,2,Interphase,La
ZrO₂,2,Interphase,Dy
HfO₂,2,Gate dielectrics,Y
HfO₂,2,Gate dielectrics,La
HfO₂,2,Gate dielectrics,Pr
HfO₂,2,Gate dielectrics,Gd
HfO₂,2,Gate dielectrics,Er
HfO₂,2,Gate dielectrics,Dy
HfO₂,2,Memory,Y
HfO₂,2,Memory,La
HfO₂,2,Memory,Pr
HfO₂,2,Memory,Gd
HfO₂,2,Memory,Er
HfO₂,2,Memory,Dy
TiO₂,2,Magnetics,La
TiO₂,2,Magnetics,Pr
TiO₂,2,Magnetics,Nd
TiO₂,2,Magnetics,Sm
TiO₂,2,Magnetics,Eu
TiO₂,2,Magnetics,Tb
TiO₂,2,Magnetics,Dy
TiO₂,2,Magnetics,Ho
TiO₂,2,Magnetics,Er
TiO₂,2,Magnetics,Tm
TiO₂,2,Magnetics,Yb
TiO₂,2,Luminescence,La
TiO₂,2,Luminescence,Pr
TiO₂,2,Luminescence,Nd
TiO₂,2,Luminescence,Sm
TiO₂,2,Luminescence,Eu
TiO₂,2,Luminescence,Tb
TiO₂,2,Luminescence,Dy
TiO₂,2,Luminescence,Ho
TiO₂,2,Luminescence,Er
TiO₂,2,Luminescence,Tm
TiO₂,2,Luminescence,Yb
