host,n_apps,application,dopant
AlO,2,Luminescence,Tb
AlO,2,Luminescence,Ce
AlO,2,Luminescence,Eu
AlO,2,Luminescence,Er
AlO,2,Waveguides,Er
AlO,2,Luminescence,Yb
AlO,2,Luminescence,(Er,Yb)
YO,2,Luminescence,Er
YO,2,Luminescence,Eu
YO,2,Luminescence,Y
YGaO,2,Luminescence,Er
ZrO,2,Electrolyte,Y
ZrO,2,Electrolyte,La
ZrO,2,Electrolyte,Pr
ZrO,2,Electrolyte,Gd
ZrO,2,Electrolyte,Er
ZrO,2,Electrolyte,Dy
ZrO,2,Interphase,Y
ZrO,2,Interphase,La
ZrO,2,Interphase,Pr
ZrO,2,Interphase,Gd
ZrO,2,Interphase,Er
ZrO,2,Interphase,Dy
HfO,2,Gatedielectrics,Y
HfO,2,Gatedielectrics,La
HfO,2,Gatedielectrics,Pr
HfO,2,Gatedielectrics,Gd
HfO,2,Gatedielectrics,Er
HfO,2,Gatedielectrics,Dy
HfO,2,Memory,Y
HfO,2,Memory,La
HfO,2,Memory,Pr
HfO,2,Memory,Gd
HfO,2,Memory,Er
HfO,2,Memory,Dy
HfO/ZrO,2,Memory,Y
HfO/ZrO,2,Memory,La
HfO/ZrO,2,Memory,Gd
TiO,2,Magnetics,La
TiO,2,Magnetics,Pr
TiO,2,Magnetics,Nd
TiO,2,Magnetics,Sm
TiO,2,Magnetics,Eu
TiO,2,Magnetics,Tb
TiO,2,Magnetics,Dy
TiO,2,Magnetics,Ho
TiO,2,Magnetics,Er
TiO,2,Magnetics,Tm
TiO,2,Magnetics,Yb
YbTiO,2,Luminescence,La
YbTiO,2,Luminescence,Pr
YbTiO,2,Luminescence,Nd
YbTiO,2,Luminescence,Sm
YbTiO,2,Luminescence,Eu
YbTiO,2,Luminescence,Tb
YbTiO,2,Luminescence,Dy
YbTiO,2,Luminescence,Ho
YbTiO,2,Luminescence,Er
YbTiO,2,Luminescence,Tm
YbTiO,2,Luminescence,Ln
YDC,2,Electrolyte,Y
SrTiO,2,Gatedielectrics,La
YO S,2,Luminescence,Eu
YVO,2,Thermometry,Nd
YVO,2,Thermometry,Sm
YVO,2,Thermometry,Eu
YVO,2,Thermometry,Tb
YVO,2,Thermometry,Dy
YVO,2,Thermometry,Ho
YVO,2,Thermometry,Er
YVO,2,Thermometry,Tm
YVO,2,Thermometry,Yb
YbAlO,2,Luminescence,Er
LuAlO,2,Luminescence,Er
GdAlO,2,Luminescence,Er
ZnGaO,2,Luminescence,Er
SrSnO,2,Optoelectronics,La
YOS,2,Luminescence,Eu
YF,2,Luminescence,Y
YF,2,Luminescence,La
YF,2,Luminescence,Gd
YF,2,Luminescence,Lu
YF,2,Luminescence,Tb
YF,2,Luminescence,Ho
YF,2,Luminescence,Er
YF,2,Luminescence,Tm
YF,2,Luminescence,Yb
