host,n_apps,application,dopant
Al2O3,2,Luminescence,"(Er,Yb), Yb, Er"
Al2O3,2,Waveguides,"(Er,Yb), Yb, Er"
Al2O3,2,Luminescence,"Tm, Dy, Er"
Al2O3,2,Waveguides,"Tm, Dy, Er"
Al2O3,2,Luminescence,"Yb, Er"
Al2O3,2,Waveguides,"Yb, Er"
Al2O3,2,Luminescence,"Er"
Al2O3,2,Waveguides,"Er"
ZrO2,2,Interphase,"Gd, Y"
ZrO2,2,Electrolyte,"Gd, Y"
ZrO2,2,Interphase,"Y, Gd"
ZrO2,2,Electrolyte,"Y, Gd"
ZrO2,2,Interphase,"Gd, Yb, Y, La"
ZrO2,2,Electrolyte,"Gd, Yb, Y, La"
ZrO2,2,Interphase,"Dy, Er, Gd, Pr, La, Y"
ZrO2,2,Electrolyte,"Dy, Er, Gd, Pr, La, Y"
HfO2,2,Memory,"Dy, Er, Gd, Pr, La, Y"
HfO2,2,Gate dielectrics,"Dy, Er, Gd, Pr, La, Y"
HfO2,2,Memory,"Dy, Er, Gd, Pr, La, Y"
HfO2,2,Gate dielectrics,"Dy, Er, Gd, Pr, La, Y"
Y2O3,2,Luminescence,"Yb, Tm, Er, Ho, Dy, Tb, Eu, Sm, Nd, Pr, La"
Y2O3,2,Electrolyte,"Yb, Tm, Er, Ho, Dy, Tb, Eu, Sm, Nd, Pr, La"
Y2O3,2,Luminescence,"Yb, Tm, Er, Ho, Dy, Tb, Eu, Sm, Nd, Pr, La"
Y2O3,2,Electrolyte,"Yb, Tm, Er, Ho, Dy, Tb, Eu, Sm, Nd, Pr, La"
