"host","n_apps","application","dopant"
"Al2O3","2","Luminescence, Waveguides","(Er,Yb), Yb, Er"
"ZrO2","2","Interphase, Electrolyte","Dy, La, Y"
"ZrO2","2","Electrolyte, Interphase","Dy, La, Y"
"ZrO2","2","Gate dielectrics, Memory","Dy, Er, Gd, Pr, La, Y"
"HfO2","2","Memory, Gate dielectrics","Dy, Er, Gd, Pr, La, Y"
"Y2O3","2","Luminescence","Eu, Er"
"TiO2","2","Luminescence, Magnetics","Yb, Tm, Er, Ho, Dy, Tb, Eu, Sm, Nd, Pr, La"
"Ga2O3","1","Luminescence","Er, Nd"
"GeO2","1","Luminescence","Er"
"Yb2O3","1","Luminescence","Er"
"YDC","1","Electrolyte","Y"
"SrTiO3","1","Gate dielectrics","La"
"Y2O3-xSx","1","Luminescence","Eu"
"YVO4","1","Thermometry","Yb, Tm, Er, Ho, Dy, Tb, Eu, Sm, Nd"
"Gd3Ga5O12","1","Luminescence","Er"
"Yb3Al5O12","1","Luminescence","Er"
"Lu3Al5O12","1","Luminescence","Er"
"ZnGa2O4","1","Luminescence","Er"
"SrSnO3","1","Optoelectronics","La"
"ZnS","1","Luminescence","Tb"
"CaS","1","Luminescence","Eu, Ce, Tb"
"SrS","1","Luminescence","Ce, Tb"
"Y3Ga5O12","1","Luminescence","Er"
"HfO2/ZrO2","1","Memory","Gd, La, Y"
