host,n_apps,application,dopant
AlO,2,Waveguides,Er
AlO,2,Waveguides,Yb
AlO,2,Waveguides,(Er,Yb)
AlO,2,Luminescence,Er
AlO,2,Luminescence,Yb
AlO,2,Luminescence,(Er,Yb)
YO,2,Luminescence,Er
YO,2,Luminescence,Eu
YO,2,Electrolyte,Y
YO,2,Electrolyte,La
YO,2,Electrolyte,Dy
YGaO,2,Luminescence,Er
YGaO,2,Luminescence,Nd
HfO,2,Gatedielectrics,Y
HfO,2,Gatedielectrics,La
HfO,2,Gatedielectrics,Pr
HfO,2,Gatedielectrics,Gd
HfO,2,Gatedielectrics,Er
HfO,2,Gatedielectrics,Dy
HfO,2,Memory,Y
HfO,2,Memory,La
HfO,2,Memory,Pr
HfO,2,Memory,Gd
HfO,2,Memory,Er
HfO,2,Memory,Dy
TiO,2,Magnetics,La
TiO,2,Magnetics,Pr
TiO,2,Magnetics,Nd
TiO,2,Magnetics,Sm
TiO,2,Magnetics,Eu
TiO,2,Magnetics,Tb
TiO,2,Magnetics,Dy
TiO,2,Magnetics,Ho
TiO,2,Magnetics,Er
TiO,2,Magnetics,Tm
TiO,2,Magnetics,Yb
TiO,2,Luminescence,La
TiO,2,Luminescence,Pr
TiO,2,Luminescence,Nd
TiO,2,Luminescence,Sm
TiO,2,Luminescence,Eu
TiO,2,Luminescence,Tb
TiO,2,Luminescence,Dy
TiO,2,Luminescence,Ho
TiO,2,Luminescence,Er
TiO,2,Luminescence,Tm
TiO,2,Luminescence,Yb
YbTiO,2,Luminescence,La
YbTiO,2,Luminescence,Pr
YbTiO,2,Luminescence,Nd
YbTiO,2,Luminescence,Sm
YbTiO,2,Luminescence,Eu
YbTiO,2,Luminescence,Tb
YbTiO,2,Luminescence,Dy
YbTiO,2,Luminescence,Ho
YbTiO,2,Luminescence,Er
YbTiO,2,Luminescence,Tm
YbTiO,2,Luminescence,Yb
YVO,2,Thermometry,Nd
YVO,2,Thermometry,Sm
YVO,2,Thermometry,Eu
YVO,2,Thermometry,Tb
YVO,2,Thermometry,Dy
YVO,2,Thermometry,Ho
YVO,2,Thermometry,Er
YVO,2,Thermometry,Tm
YVO,2,Thermometry,Yb
YVO,2,Luminescence,Nd
YVO,2,Luminescence,Sm
YVO,2,Luminescence,Eu
YVO,2,Luminescence,Tb
YVO,2,Luminescence,Dy
YVO,2,Luminescence,Ho
YVO,2,Luminescence,Er
YVO,2,Luminescence,Tm
YVO,2,Luminescence,Yb
