material,family,co_reactant,gpc_num,temp_num
GdAlO3,Cp-derived,TMA,4.5,200
CeO2,amidinate,O3,2.8,210
CeO2,guanidinate,H2O,2.1,160
LaF3,β-diketonate,TiF4,2,225
CeO2,amidinate,H2O,1.9,240
GdAlO3,Cp-derived,TMA,1.75,200
PrxAl2-xO3,Cp-derived,TMA,1.7,250
Y2O3,Cp-derived,H2O,1.7,200
Y2O3,Cp-derived,H2O,1.7,200
Y2O3,Cp-derived,H2O,1.7,250
Y2O3,Cp-derived,O3,1.7,245
La2O3,formamidinate,H2O,1.7,200
Er2O3,Cp-derived,H2O,1.5,250
Er2O3,Cp-derived,H2O,1.5,250
Tm2O3,Cp-derived,H2O,1.5,200
CeO2,formamidinate,H2O,1.5,245
Pr2O3,amidinate,H2O,1.47,200
Y2O3,Cp-derived,H2O,1.4,230
Y2O3,formamidinate,H2O,1.36,150
La2O3,amidinate,H2O,1.2,200
Er2O3,Cp-derived,H2O,1.2,250
Y2O3,Cp-derived,H2O,1.2,200
La2O3,formamidinate,O3,1.2,200
Gd2O3,amidinate,H2O,1.16,200
Er2O3,amidinate,H2O,1.1,225
Er2O3,guanidinate,H2O,1.1,150
Y2O3,guanidinate,H2O,1.1,175
YF3,β-diketonate,TiF4,1.1,225
Sc2O3,Cp-derived,O3,1.09,225
La2O3,amidinate,H2O,1.05,200
Gd2O3,Cp-derived,H2O,1,175
Y2O3,Cp-derived,H2O,1,250
Yb2O3,Cp-derived,H2O,1,180
Dy2O3,guanidinate,H2O,1,200
Dy2O3,guanidinate,H2O,1,200
Gd2O3,guanidinate,H2O,1,175
Gd2O3,guanidinate,H2O,1,175
Gd2O3,guanidinate,H2O,1,175
HoF3,β-diketonate,NbF5,1,250
