"material","family","co_reactant","gpc_num","temp_num"
"Y(iPr2amd)(EtCp)","amidinate","H2O",1.1,300
"Y(iPr2amd)(EtCp)","amidinate","O2",1.1,300
"Y(iPr2amd)(iPrCp)","amidinate","H2O",1.3,350
"La(iPr2amd)(iPrCp)","amidinate","H2O",1.2,200
"La(iPr2amd)(iPrCp)","amidinate","O2",2.1,200
"Ce(iPr2amd)(iPrCp)","amidinate","H2O",1.9,240
"Pr(iPr2amd)(iPrCp)","amidinate","H2O",1.47,200
"Pr(iPr2amd)(iPrCp)","amidinate","H2O",1.66,300
"Gd(iPr2amd)(iPrCp)","amidinate","H2O",1.16,200
"Gd(iPr2amd)(iPrCp)","amidinate","H2O",1.38,250
"Er(iPr2amd)(MeCp)","amidinate","H2O",1.1,225
"Er(iPr2amd)(MeCp)","amidinate","O2 plasma",1.03,150
"Er(iPr2amd)(iPrCp)","amidinate","H2O",1.2,200
"Er(tBu2famd)","formamidinate","H2O",1.36,200
"Y(tBu2famd)","formamidinate","H2O",0.67,200
"La(thd)","β-diketonate","H2O",0.4,225
"La(thd)-DEMA","β-diketonate","O2",0.4,225
"Ce(thd)phen","β-diketonate","O2",0.42,225
"Nd(thd)","β-diketonate","O2",0.44,310
"Sm(thd)","β-diketonate","O2",0.36,300
"Eu(thd)","β-diketonate","O2",0.32,300
"Gd(thd)","β-diketonate","O2",0.31,300
"Tb(thd)","β-diketonate","O2",0.31,300
"Dy(thd)","β-diketonate","O2",0.31,300
"Ho(thd)","β-diketonate","O2",0.25,300
"Er(thd)","β-diketonate","O2",0.20,250
"Tm(thd)","β-diketonate","O2",0.22,300
"Yb(thd)","β-diketonate","O2",0.15,250
"Lu(thd)","β-diketonate","O2",0.30,230
"Sc(Cp)","Cp-derived","H2O",0.75,250
"Y(Cp)","Cp-derived","H2O",1.2,200
"La(Cp)","Cp-derived","H2O",0.1,260
"Ce(Cp)","Cp-derived","H2O",0.2,250
"Pr(Cp)","Cp-derived","H2O",0.7,130
"Nd(Cp)","Cp-derived","H2O",1.0,200
"Sm(Cp)","Cp-derived","H2O",1.0,200
"Eu(Cp)","Cp-derived","H2O",1.0,200
"Gd(Cp)","Cp-derived","H2O",1.0,200
"Tb(Cp)","Cp-derived","H2O",1.0,200
"Dy(Cp)","Cp-derived","H2O",1.0,200
"Ho(Cp)","Cp-derived","H2O",1.0,200
"Er(Cp)","Cp-derived","H2O",1.2,200
"Tm(Cp)","Cp-derived","H2O",1.5,200
"Yb(Cp)","Cp-derived","H2O",1.0,180
"Lu(Cp)","Cp-derived","H2O",1.0,330
"Y(iPrCp)","Cp-derived","O2",1.7,245
"La(iPrCp)","Cp-derived","O2",0.3,150
"Ce(iPrCp)","Cp-derived","O2 plasma",0.35,250
"Pr(iPrCp)","Cp-derived","H2O",1.7,250
"Nd(iPrCp)","Cp-derived","H2O",1.0,200
"Sm(iPrCp)","Cp-derived","H2O",1.0,200
"Eu(iPrCp)","Cp-derived","H2O",1.0,200
"Gd(iPrCp)","Cp-derived","H2O",0.8,250
"Tb(iPrCp)","Cp-derived","H2O",1.0,200
"Dy(iPrCp)","Cp-derived","H2O",1.0,200
"Ho(iPrCp)","Cp-derived","H2O",1.0,200
"Er(iPrCp)","Cp-derived","H2O",0.8,200
"Tm(iPrCp)","Cp-derived","H2O",1.5,200
"Yb(iPrCp)","Cp-derived","H2O",1.0,180
"Lu(iPrCp)","Cp-derived","H2O",1.0,330
"Y(nBuCp)","Cp-derived","H2O",1.4,230
"La(nBuCp)","Cp-derived","H2O",1.0,200
"Ce(nBuCp)","Cp-derived","H2O",1.0,200
"Pr(nBuCp)","Cp-derived","H2O",1.0,200
"Nd(nBuCp)","Cp-derived","H2O",1.0,200
"Sm(nBuCp)","Cp-derived","H2O",1.0,200
"Eu(nBuCp)","Cp-derived","H2O",1.0,200
"Gd(nBuCp)","Cp-derived","H2O",1.0,200
"Tb(nBuCp)","Cp-derived","H2O",1.0,200
"Dy(nBuCp)","Cp-derived","H2O",1.0,200
"Ho(nBuCp)","Cp-derived","H2O",1.0,200
"Er(nBuCp)","Cp-derived","H2O",1.2,250
"Tm(nBuCp)","Cp-derived","H2O",1.5,200
"Yb(nBuCp)","Cp-derived","H2O",1.0,180
"Lu(nBuCp)","Cp-derived","H2O",1.0,330
"Sc(tmsa)","alkoxide/amide","H2O",0.3,290
"Y(tmsa)","alkoxide/amide","H2O",0.8,150
"La(tmsa)","alkoxide/amide","H2O",0.43,200
"Ce(tmsa)","alkoxide/amide","H2O",0.2,200
"Pr(tmsa)","alkoxide/amide","H2O",0.15,200
"Nd(tmsa)","alkoxide/amide","H2O",0.2,200
"Sm(tmsa)","alkoxide/amide","H2O",0.2,200
"Eu(tmsa)","alkoxide/amide","H2O",0.2,200
"Gd(tmsa)","alkoxide/amide","H2O",0.2,200
"Tb(tmsa)","alkoxide/amide","H2O",0.2,200
"Dy(tmsa)","alkoxide/amide","H2O",0.2,200
"Ho(tmsa)","alkoxide/amide","H2O",0.2,200
"Er(tmsa)","alkoxide/amide","H2O",0.2,200
"Tm(tmsa)","alkoxide/amide","H2O",0.2,200
"Yb(tmsa)","alkoxide/amide","H2O",0.2,200
"Lu(tmsa)","alkoxide/amide","H2O",0.2,200
