material,family,co_reactant,gpc_num,temp_num
Sc2O3,Cp-derived,O3,1.0,250.0
Sc2O3,Cp-derived,O3,1.94,225.0
Y2O3,Cp-derived,H2O,1.3,200.0
Y2O3,Cp-derived,H2O,1.0,250.0
Y2O3,Cp-derived,H2O,1.7,200.0
Y2O3,Cp-derived,H2O,1.7,200.0
Y2O3,Cp-derived,O3,1.36,200.0
Y2O3,guanidinate,H2O,1.05,200.0
Y2O3,Cp-derived,H2O,1.4,225.0
Y2O3,formamidinate,H2O,1.2,225.0
Y2O3,Cp-derived,H2O,1.1,225.0
YF3,β-diketonate,O3,1.1,225.0
La2O3,amidinate,H2O,1.2,200.0
La2O3,formamidinate,H2O,1.1,200.0
La2O3,formamidinate,H2O,1.1,200.0
La2O3,formamidinate,H2O,1.05,200.0
La2O3,formamidinate,H2O,1.4,200.0
La2O3,amidinate,O3,1.2,180.0
La2O3,Cp-derived,O3,1.2,180.0
La2O3,formamidinate,O3,1.1,180.0
La2O3,formamidinate,O3,1.2,180.0
La2O3,formamidinate,O3,1.1,180.0
La2O3,amidinate,H2O,1.36,180.0
Eu2O3,β-diketonate,O3,1.1,225.0
Gd2O3,guanidinate,H2O,1.1,175.0
Gd2O3,guanidinate,H2O,1.05,175.0
Gd2O3,amidinate,H2O,1.2,175.0
Gd2O3,formamidinate,H2O,1.1,175.0
Gd2O3,formamidinate,H2O,1.1,175.0
Gd2O3,formamidinate,H2O,1.05,175.0
Gd2O3,guanidinate,O3,1.4,175.0
Gd2O3,Cp-derived,O3,1.2,175.0
Gd2O3,formamidinate,O3,1.1,175.0
Gd2O3,formamidinate,O3,1.2,175.0
Gd2O3,formamidinate,O3,1.1,175.0
Gd2O3,amidinate,H2O,1.36,175.0
Tb2O3,β-diketonate,O3,1.1,225.0
Dy2O3,β-diketonate,O3,1.1,225.0
Ho2O3,β-diketonate,O3,1.1,225.0
Er2O3,β-diketonate,O3,1.1,225.0
Tm2O3,β-diketonate,O3,1.1,225.0
Yb2O3,β-diketonate,O3,1.1,225.0
LaAlO3,amidinate,O3,1.2,200.0
LaAlO3,Cp-derived,O3,1.2,200.0
LaAlO3,formamidinate,O3,1.1,200.0
LaAlO3,formamidinate,O3,1.2,200.0
LaAlO3,formamidinate,O3,1.1,200.0
LaAlO3,amidinate,H2O,1.36,200.0
GdAlO3,guanidinate,O3,1.4,175.0
GdAlO3,amidinate,H2O,1.36,175.0
