material,family,co_reactant,gpc_num,temp_num
Sc2O3,Cp-derived,O3,1.0,250.0
Sc2O3,Cp-derived,O3,1.94,225.0
Y2O3,Cp-derived,H2O,1.3,200.0
Y2O3,Cp-derived,H2O,1.0,250.0
Y2O3,Cp-derived,H2O,1.7,200.0
Y2O3,Cp-derived,H2O,1.7,200.0
Y2O3,Cp-derived,O3,1.7,245.0
Y2O3,guanidinate,H2O,1.1,175.0
Y2O3,Cp-derived,H2O,1.7,230.0
Y2O3,formamidinate,H2O,1.36,150.0
Y2O3,Cp-derived,H2O,1.7,250.0
YF3,β-diketonate,TiF4,1.7,225.0
La2O3,amidinate,H2O,1.05,200.0
La2O3,formamidinate,H2O,1.7,200.0
La2O3,formamidinate,O3,1.4,200.0
La2O3,amidinate,H2O,3.0,200.0
La2O3,amidinate,O3,2.1,200.0
La2O3,amidinate,H2O+O3,1.8,200.0
La2O3,amidinate,EtOH,1.7,200.0
LaF3,β-diketonate,TiF4,5.0,225.0
CeO2,amidinate,H2O,1.9,240.0
CeO2,amidinate,O3,2.8,210.0
CeO2,guanidinate,H2O,2.1,160.0
CeO2,formamidinate,H2O,1.5,245.0
Pr2O3,alkoxide/amide,H2O,2.9,200.0
Pr2O3,amidinate,H2O,1.66,200.0
PrxAl2-xO3,Cp-derived,TMA,1.7,250.0
Gd2O3,Cp-derived,H2O,3.2,175.0
Gd2O3,other,H2O,1.0,200.0
Gd2O3,guanidinate,H2O,1.1,175.0
Gd2O3,guanidinate,H2O,1.1,175.0
Gd2O3,guanidinate,H2O,1.1,175.0
Gd2O3,amidinate,H2O,1.38,200.0
GdAlO3,Cp-derived,TMA,2.75,200.0
GdAlO3,Cp-derived,TMA,5.0,200.0
Dy2O3,guanidinate,H2O,1.0,200.0
Dy2O3,guanidinate,H2O,1.0,200.0
HoF3,β-diketonate,NbF5,1.0,250.0
Er2O3,Cp-derived,H2O,1.5,250.0
Er2O3,Cp-derived,H2O,1.5,250.0
Er2O3,guanidinate,H2O,1.1,150.0
Er2O3,amidinate,H2O,1.2,225.0
Er2O3,amidinate,O3,1.0,200.0
Er2O3,Cp-derived,H2O,1.2,200.0
Er2O3,Cp-derived,H2O,1.2,250.0
Er1-xTixOy,Cp-derived,TDEAT,10.64,175.0
"(Er,Ga)2O3",Cp-derived,Ga2(NMe2)6,1.0,250.0
Tm2O3,Cp-derived,H2O,1.5,200.0
Yb2O3,Cp-derived,H2O,1.0,180.0
