material,family,co_reactant,gpc_num,temp_num
La(iPrCp) HO, Cp-derived, HO, 0.10, 280
La(iPrCp) O, Cp-derived, O, 0.30-0.60, 150
La(iPrCp) O plasma, Cp-derived, O plasma, 0.60, 300
La(iPr2amd) HO, amidinate, HO, 1.05, 200
La(iPr2amd) O, amidinate, O, 1.20-1.40, 200
La(iPr2amd)(iPrCp) HO, amidinate, HO, 1.20-3.00, 200
La(iPr2amd)(iPrCp) O, amidinate, O, 0.60-2.10, 200
La(iPr2amd)(iPrCp) HO+O, amidinate, HO+O, 0.70-1.80, 200
La(iPr2amd)(iPrCp) EtOH, amidinate, EtOH, 0.50-1.70, 200
La(iPr2famd) HO, formamidinate, HO, 1.70, 200
La(iPr2famd) O, formamidinate, O, 1.20-1.40, 200
La(iPr2famd) O, formamidinate, O, 0.40, 300
La(iPr2amd)(iPrCp) HO, amidinate, HO, 1.20-3.00, 200
La(iPr2amd)(iPrCp) O, amidinate, O, 0.60-2.10, 200
La(iPr2amd)(iPrCp) HO+O, amidinate, HO+O, 0.70-1.80, 200
La(iPr2amd)(iPrCp) EtOH, amidinate, EtOH, 0.50-1.70, 200
La(iPr2famd) HO, formamidinate, HO, 1.70, 200
La(iPr2famd) O, formamidinate, O, 1.20-1.40, 200
La(iPr2famd) O, formamidinate, O, 0.40, 300
La(iPr2amd) TMA HO, amidinate, TMA HO, 0.80, 300
La(iPr2famd) TMA HO, formamidinate, TMA HO, 2.80, 300
La(iPrCp) TMA HO, Cp-derived, TMA HO, 0.12, 300
LaAl(OiPr)(iPrOH)] HO, other, HO, 0.10-0.50, 160
LaNiO La(thd) Ni(thd) O, β-diketonate, O, 0.08-0.26, 215
LaCoO La(thd) Co(thd) O, β-diketonate, O, 0.35, 200
LaMnO La(thd) Mn(thd) O, β-diketonate, O, 0.10-0.23, 250
LaGaO La(thd) Ga(acac) O, β-diketonate, O, 0.38, 325
LaFeO La(thd) Fe(thd) O, β-diketonate, O, 0.20-0.30, 200
LaLuO La(thd) Lu(thd) O, β-diketonate, O, 300, 300
La(iPr2amd) Lu(Etfamd) HO, amidinate, HO, 1.20, 300
LaScO La(iPr2amd) Sc(Etamd) HO, amidinate, HO, 1.10, 300
LaYO La(iPr2amd) Y(iPramd) HO, amidinate, HO, 0.80, 280
HfLaO La(iPrCp) TEMA-Hf HO, Cp-derived, HO, 1.40, 300
La(iPrCp) TEMA-Hf O, Cp-derived, O, NA, 225
La(iPrCp) TEMA-Hf O plasma, Cp-derived, O plasma, 0.50, 225
La(iPr2famd) TEMA-Hf O, formamidinate, O, _, 265
LaWO La(thd) W(tBuN)(MeN) O HO, β-diketonate, O HO, 0.48-0.58, 250
LaPO La(thd) TMPO HO O, β-diketonate, HO O, 0.78, 275
LaCaPO La(thd) Ca(thd) TMPO HO/O, β-diketonate, HO/O, 0.78, 275
LaCuO La(thd) Cu(acac) O, β-diketonate, O, 0.40, 210
LaVO La(thd) VO(acac) _, β-diketonate, _, 270
La x Zr 1-X O 2-𝛿 La(iPrCp) 3 (MeCp) 2 ZrMe(OMe) H 2 O, Cp-derived, H 2 O, _, 300
La(thd) (MeCp)ZrMe(OMe) O, β-diketonate, O, _, 300
La(tmsa) Zr[N(CHCH)] HO, alkoxide/amide, HO, 0.58-0.72, 250
LiLaO Li(thd) La(thd) O, β-diketonate, O, 0.20-0.30, 225
LiLaZrO LiOtBu [La(iPrFamd)] TDMAZ O, other, O, 0.80, 225
7 3 2 12 3 3
