"material","family","co_reactant","gpc_num","temp_num"
"ScO","Cp-derived","O","0.60-1.00","250-375"
"ScO","Cp-derived","HO","0.75","250-350"
"YScO","Cp-derived","O","0.18","335-350"
"YO","Cp-derived","O","0.22-0.23","250-300"
"YO","Cp-derived","O plasma","0.30","200-300"
"LaO","β-diketonate","O","0.36","180-425"
"LaO","β-diketonate","HO","0.30-0.50","230-350"
"LaO","Cp-derived","HO","0.10","280-480"
"LaO","Cp-derived","O","0.30-0.60","150-250"
"LaAlO","Cp-derived","HO","0.12","300"
"LaNiO","β-diketonate","O","0.08-0.26","215-400"
"LaCoO","β-diketonate","O","0.35","200-400"
"LaMnO","β-diketonate","O","0.10-0.23","250-325"
"LaGaO","β-diketonate","O","0.38","325-400"
"LaFeO","β-diketonate","O","0.20-0.30","200-360"
"LaLuO","β-diketonate","O","0.20","300"
"CeO","β-diketonate","O","0.32","175-375"
"CeO","Cp-derived","O plasma","0.35","250"
"PrO","β-diketonate","HO","0.15-2.90","200-400"
"PrO","Cp-derived","HO","0.70","130"
"NdO","β-diketonate","O","0.44-0.45","310"
"NdAlO","β-diketonate","O","0.53","300"
"SmO","β-diketonate","O","0.36","300"
"EuO","β-diketonate","O","0.32","300"
"GdO","β-diketonate","O","0.31","300"
"GdO","Cp-derived","HO","1.00-3.20","175-300"
"GdO","Cp-derived","O plasma","1.40","250"
"TbO","β-diketonate","O","0.31","300"
"ErO","β-diketonate","O","0.20-0.25","250-375"
"ErO","Cp-derived","HO","1.50","250-350"
"ErO","Cp-derived","O","0.12","170-330"
"YbO","β-diketonate","O","0.15-0.2","250-400"
"YbO","Cp-derived","HO","1.00","180-375"
"LuO","Cp-derived","HO","0.25","360-370"
