material,family,co_reactant,gpc_num,temp_num
ScO,Cp-derived,HO,0.75,250-350
Sc(iPrCp),β-diketonate,O,0.60-1.00,250-375
Sc(iPr2amd),β-diketonate,HO,0.30,290
Sc(MeCp),β-diketonate,HO,0.65,300
Sc(Me2pz)(MeCp),β-diketonate,O,1.09-1.94,225,275
ScAlO,Cp-derived,HO,0.65,300
YScO,β-diketonate,O,0.18,335-350
Y(MeCp),Cp-derived,HO,1.07,300
DyScO,β-diketonate,O,0.43,350
YO,β-diketonate,O,0.22-0.23,250-300
Y(thd),β-diketonate,O plasma,0.30,200-300
Y(Cp),β-diketonate,HO,1.20-1.30,200-400
Y(MeCp),β-diketonate,HO,1.00,250-325
Y(EtCp),β-diketonate,HO,1.70,200-400
Y(iPr2amd),β-diketonate,HO,0.80,150-280
Y(iPrCp),β-diketonate,O,1.70,245-300
Y(iPr2amd)(EtCp),β-diketonate,HO,1.10,300-450
Y(iPr2amd)(EtCp),β-diketonate,O,1.10,300-450
Y(iPr2amd)(EtCp),β-diketonate,O,0.90,300-450
Y(iPr2amd)(iPrCp),β-diketonate,HO,0.40,1.30,350-450
Y(iPr2amd)(iPrCp),β-diketonate,O,_,350
Y(dpdmg),β-diketonate,HO,1.10,175-250
Y(BuCp),β-diketonate,HO,1.40-1.70,230
Y(iPr2amd)(EtCp),β-diketonate,HO,0.74,150-275
Y(iPr2amd)(EtCp),β-diketonate,O plasma,0.83,150-275
Y(iPr2amd)(EtCp),β-diketonate,HO plasma,1.03,150-275
Y(iPr2famd),β-diketonate,HO,1.36,150-325
Y(tBu2famd),β-diketonate,HO,0.67,200-325
Y(tBuCp),β-diketonate,HO,1.70,250
YMnO,β-diketonate,O,0.18-0.60,250-300
Y(thd),β-diketonate,O,0.25-0.30,250
YAlO,Cp-derived,HO,1.55,300
YVO,β-diketonate,O,0.15-0.17,260-300
YGaO,β-diketonate,O,0.23,350
YOS,β-diketonate,HS,_,350-450
YO S,Cp-derived,HO,HS,_,300
YF,β-diketonate,TiF,1.10-1.70,225-325
LaO,β-diketonate,O,0.36,180-425
La(thd),β-diketonate,HO,0.30-0.50,230-350
La(thd)-DEMA,β-diketonate,O,0.4,225-250
La(iPrCp),β-diketonate,HO,0.10,280-480
La(iPrCp),β-diketonate,O,0.30-0.60,150-250
La(iPrCp),β-diketonate,O plasma,0.60,300-350
La(Cp),β-diketonate,HO,_,260
La(Cp),β-diketonate,O plasma,0.50,150
La(tmsa),β-diketonate,HO,0.43,200-300
La(iPr2amd),β-diketonate,HO,1.05,200-300
[La(iPr2famd)],β-diketonate,HO,1.70,200-250
La(iPr2famd),β-diketonate,O,1.20-1.40,200-250
La(iPr2famd),β-diketonate,O,0.40,300
La(iPr2amd)(iPrCp),β-diketonate,HO,1.20-3.00,200-300
La(iPr2amd)(iPrCp),β-diketonate,O,0.60-2.10,200-325
La(iPr2amd)(iPrCp),β-diketonate,HO+O,0.70-1.80,200-325
La(iPr2amd)(iPrCp),β-diketonate,EtOH,0.50-1.70,200-325
LaAlO,β-diketonate,O,0.36-0.39,325-400
La(thd),β-diketonate,TMA,HO,0.55,270
La(thd),β-diketonate,TMA,O,0.64,250
La(tmsa),β-diketonate,TMA,HO,0.58,225-250
La(iPr2amd),β-diketonate,TMA,HO,0.80,300-330
La(iPr2famd),β-diketonate,TMA,HO,2.80,300-330
La(iPrCp),β-diketonate,TMA,HO,0.12,300
LaAl(OiPr)(iPrOH)],β-diketonate,HO,0.10-0.50,160-300
LaNiO,β-diketonate,O,0.08-0.26,215-400
La(thd),β-diketonate,Ni(acac),O,0.31,225
LaCoO,β-diketonate,O,0.35,200-400
LaMnO,β-diketonate,O,0.10-0.23,250-325
LaGaO,β-diketonate,O,0.38,325-400
LaFeO,β-diketonate,O,0.20-0.30,200-360
LaLuO,β-diketonate,O,300
La(iPr2amd),β-diketonate,Lu(Etfamd),HO,1.20,300
LaScO,β-diketonate,Sc(Etamd),HO,1.10,300
LaYO,β-diketonate,Y(iPramd),HO,0.80,280
HfLaO,Cp-derived,TEMA-Hf,HO,1.40,300
La(iPrCp),β-diketonate,TEMA-Hf,O,NA,225
La(iPrCp),β-diketonate,TEMA-Hf,O plasma,0.50,225,300-350
La(iPr2famd),β-diketonate,TEMA-Hf,O,_,265
LiLaO,β-diketonate,O,0.20-0.30,225
LaWO,β-diketonate,W(tBuN)(MeN),O,HO,0.48-0.58,250-375
LaPO,β-diketonate,TMPO,HO,O,0.78,275
LaCaPO,β-diketonate,Ca(thd),TMPO,HO/O,0.78,275
LaCuO,β-diketonate,Cu(acac),O,0.40,210-250
LaVO,β-diketonate,VO(acac),_,270
La x Zr 1-X O 2-𝛿,β-diketonate,(MeCp) 2 ZrMe(OMe),H 2 O,_,300
La(thd),β-diketonate,(MeCp)ZrMe(OMe),O,_,300
La(tmsa),β-diketonate,Zr[N(CHCH)],HO,0.58-0.72,250
