mode,avg_gpc_A,n_rows,example_co_reactant
Thermal ALD,1.07,1,Y(MeCp) CpSc HO
Thermal ALD,1.20,1,Y(Cp) HO
Thermal ALD,1.00,1,Y(MeCp) HO
Thermal ALD,1.70,1,Y(EtCp) HO
Thermal ALD,0.80,1,Y(iPr2amd) HO
Thermal ALD,1.10,1,Y(iPr2amd)(EtCp) HO
Thermal ALD,1.10,1,Y(iPr2amd)(EtCp) O
Thermal ALD,0.90,1,Y(iPr2amd)(EtCp) O
Thermal ALD,0.40,1,Y(iPr2amd)(iPrCp) HO
Thermal ALD,1.10,1,Y(iPr2amd)(iPrCp) O
Thermal ALD,1.10,1,Y(dpdmg) HO
Thermal ALD,1.40,1,Y(BuCp) HO
Thermal ALD,0.74,1,Y(iPr2amd)(EtCp) HO
Thermal ALD,0.83,1,Y(iPr2amd)(EtCp) O plasma
Thermal ALD,1.03,1,Y(iPr2amd)(EtCp) HOplasma
Thermal ALD,1.36,1,Y(iPr2famd) HO
Thermal ALD,0.67,1,Y(tBu2famd) HO
Thermal ALD,1.70,1,Y(tBuCp) HO
PE-ALD,0.30,1,Y(thd) O plasma
PE-ALD,0.83,1,Y(iPr2amd)(EtCp) O plasma
PE-ALD,1.03,1,Y(iPr2amd)(EtCp) HOplasma
