"Title","material","metal precursor","organic precursor","growth per cycle (gpc) [å]","deposition temperature [°c]","research problem"
"Aromatic sensitizers in luminescent hybrid films - Contribution 1","Y-2,6NDC","Y(thd)3","2,6NDA","2","260","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Three- and Two-Photon NIR-to-Vis (Yb,Er) Upconversion from ALD/MLD-Fabricated Molecular Hybrid Thin Films - Contribution 1","(Y,Yb,Er)-2,3PZA","(Y,Yb,Er)(thd)3","2,3PZA","3.4","160-280","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Atomic/Molecular Layer Deposition of s‐Block Metal Carboxylate Coordination Network Thin Films - Contribution 1","La-TPA","Nd(thd)3","TPA","3.2","200","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Atomic/molecular layer deposition of cerium(<scp>iii</scp>) hybrid thin films using rigid organic precursors - Contribution 1","Ce-TPA","Ce(DPDMG)3","TPA","5.4","200","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Amorphous-to-crystalline transition and photoluminescence switching in guest-absorbing metal–organic network thin films - Contribution 1","Nd-TPA","Nd(thd)3","TPA","3.2","200","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"ALD/MLD fabrication of luminescent Eu-organic hybrid thin films using different aromatic carboxylic acid components with N and O donors - Contribution 1","Eu-TPA","Eu(thd)3","TPA","2.5-3.2","190-240","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Excitation Wavelength Engineering through Organic Linker Choice in Luminescent Atomic/Molecular Layer Deposited Lanthanide–Organic Thin Films - Contribution 1","Eu-TPA","Eu(thd)3","TPA","2.5-3.2","190-240","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Effect of carbon backbone on luminescence properties of Eu-organic hybrid thin films prepared by ALD/MLD - Contribution 1","Eu-TPA","Eu(thd)3","TPA","2.5-3.2","190-240","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"ALD/MLD fabrication of luminescent Eu-organic hybrid thin films using different aromatic carboxylic acid components with N and O donors - Contribution 2","Eu-2,6PDC","Eu(thd)3","2,6PDC","2.0-1.3","240-340","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"ALD/MLD fabrication of luminescent Eu-organic hybrid thin films using different aromatic carboxylic acid components with N and O donors - Contribution 3","Eu-3,5PDC","Eu(thd)3","3,5PDC","3.0-2.0","240-340","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Effect of carbon backbone on luminescence properties of Eu-organic hybrid thin films prepared by ALD/MLD - Contribution 2","Eu-2,6NDC","Eu(thd)3","2,6NDA","3","220","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Effect of carbon backbone on luminescence properties of Eu-organic hybrid thin films prepared by ALD/MLD - Contribution 3","Eu-9,10ADC","Eu(thd)3","9,10ADA","3","250","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Luminescent thin films of Eu-bearing UiO-66 metal organic framework prepared by ALD/MLD - Contribution 1","Eu-NH2TP","Eu(thd)3","NH2-TPA","","180-250","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Aromatic sensitizers in luminescent hybrid films - Contribution 2","Tb-TP","Tb(thd)3","TPA","2.5","250","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Aromatic sensitizers in luminescent hybrid films - Contribution 3","Tb-bdo","Tb(thd)3","BDO","1.2","175","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Aromatic sensitizers in luminescent hybrid films - Contribution 4","Tb-FTP","Tb(thd)3","F-TPA","2.4","250","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Aromatic sensitizers in luminescent hybrid films - Contribution 5","Tb-BrTP","Tb(thd)3","Br-TPA","2.7","250","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Aromatic sensitizers in luminescent hybrid films - Contribution 6","Tb-NH2TP","Tb(thd)3","NH2-TPA","2.7","250","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Aromatic sensitizers in luminescent hybrid films - Contribution 7","Tb-bpdc","Tb(thd)3","BPDCA","2.6","275","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
"Aromatic sensitizers in luminescent hybrid films - Contribution 8","Tb-2,6NDC","Tb(thd)3","2,6-NDA","2.7","250","Identifying precursor chemistries that yield higher growth rates in R–organic thin films"
