"Title","material","precursor 1","precursor 2","precursor 3","precursor 4","growth per cycle (gpc) [å]","deposition temperature [°c]"
"Surface-Controlled Deposition of Sc<sub>2</sub>O<sub>3</sub> Thin Films by Atomic Layer Epitaxy Using β-Diketonate and Organometallic Precursors - Contribution","Sc2O3","Sc(thd)3","O3","","","0.13","335-375"
"Surface-Controlled Deposition of Sc<sub>2</sub>O<sub>3</sub> Thin Films by Atomic Layer Epitaxy Using β-Diketonate and Organometallic Precursors - Contribution","Sc2O3","Sc(Cp)3","H2O","","","0.75","250-350"
"Atomic Layer Deposition of Rare-earth Oxide Thin Films for High-k Dielectric Applications - Contribution","Sc2O3","Sc(iPrCp)3","O3","","","0.60-1.00","250-375"
"ALD of Scandium Oxide from Scandium Tris(N,N[sup ʹ]-diisopropylacetamidinate) and Water - Contribution","Sc2O3","Sc(iPr2amd)3","H2O","","","0.3","290"
"Al<sub>2</sub>O<sub>3</sub>/InGaAs Metal-Oxide-Semiconductor Interface Properties: Impact of Gd<sub>2</sub>O<sub>3</sub>and Sc<sub>2</sub>O<sub>3</sub>Interfacial Layers by Atomic Layer Deposition - Contribution","Sc2O3","Sc(MeCp)3","H2O","","","0.65","300"
"Reaction Chemistry during the Atomic Layer Deposition of Sc<sub>2</sub>O<sub>3</sub> and Gd<sub>2</sub>O<sub>3</sub> from Sc(MeCp)<sub>3</sub>, Gd(<sup>i</sup>PrCp)<sub>3</sub>, and H<sub>2</sub>O - Contribution","Sc2O3","Sc(MeCp)3","H2O","","","0.65","300"
"Optical properties and charge transport of textured Sc2O3 thin films obtained by atomic layer deposition - Contribution","Sc2O3","Sc(MeCp)3","H2O","","","0.65","300"
"Mechanistic study of the atomic layer deposition of scandium oxide films using Sc(MeCp)2(Me2pz) and ozone - Contribution","Sc2O3","Sc(Me2pz)(MeCp)2","O3","","","1.09-1.94","225,275"
"Atomic layer deposition of scandium‐based oxides - Contribution","ScAlO3","Sc(MeCp)3","TMA","H2O","","0.65","300"
"High-permittivity YScO<sub>3</sub>thin films by atomic layer deposition using two precursor approaches - Contribution","YScO3","Y(thd)3","Sc(thd)3","O3","","0.18","335-350"
"High-permittivity YScO<sub>3</sub>thin films by atomic layer deposition using two precursor approaches - Contribution","YScO3","Y(MeCp)3","Cp3Sc","H2O","","1.07","300"
"Evaluation of DyScOx as an alternative blocking dielectric in TANOS memories with Si3N4 or Si-rich SiN charge trapping layers - Contribution","DyScO3","Sc(thd)3","Dy(thd)3","O3","","0.43","350"
"Growth Per Cycle in Atomic Layer Deposition: Real Application Examplesof a Theoretical Model - Contribution","Y2O3","Y(thd)3","O3","","","0.22-0.23","250-300"
"Growth of yttrium oxide thin films from β‐diketonate precursor - Contribution","Y2O3","Y(thd)3","O3","","","0.22-0.23","250-300"
"Publisher’s Note: “Room-temperature ferromagnetism in Cu-doped ZnO thin films” [Appl. Phys. Lett. 87, 082504 (2005)] - Contribution","Y2O3","Y(thd)3","O3","","","0.22-0.23","250-300"
"Optical properties of Y2O3 thin films doped with spatially controlled Er3+ by atomic layer deposition - Contribution","Y2O3","Y(thd)3","O3","","","0.22-0.23","250-300"
"Ultrathin high-K metal oxides on silicon: processing, characterization and integration issues - Contribution","Y2O3","Y(thd)3","O3","","","0.22-0.23","250-300"
"Low-Temperature ALE Deposition of Y2O3 Thin Films from β-Diketonate Precursors - Contribution","Y2O3","Y(thd)3","O3","","","0.22-0.23","250-300"
"Electrochemiluminescence of Tb(III) chelates at optically transparent tunnel emission electrodes fabricated by atomic layer deposition - Contribution","Y2O3","Y(thd)3","O3","","","0.22-0.23","250-300"
"Enhancement of the Electroluminescence from Amorphous Er-Doped Al2O3 Nanolaminate Films by Y2O3 Cladding Layers Using Atomic Layer Deposition - Contribution","Y2O3","Y(thd)3","O3","","","0.22-0.23","250-300"
"Er coordination in Y2O3 thin films studied by extended x-ray absorption fine structure - Contribution","Y2O3","Y(thd)3","O2 plasma","","","0.3","200-300"
"Nanostructure and temperature-dependent photoluminescence of Er-doped Y2O3 thin films for micro-optoelectronic integrated circuits - Contribution","Y2O3","Y(thd)3","O2 plasma","","","0.3","200-300"
