"ml","ppL","perf_val"
"YGaO","EQE","2.5"
"YGaO","Power Efficiency","3.8"
"YGaO","Threshold Voltage","25"
"YGaO","Emission Lifetime","2.26"
"YGaO","Operational Lifetime","49"
"YGaO","Annealing Temperature","800"
"GdGaO","EQE","1.9"
"GdGaO","Power Efficiency","3.6"
"GdGaO","Threshold Voltage","30"
"GdGaO","Emission Lifetime","1.59"
"GdGaO","Annealing Temperature","1000"
"ZnGaO","EQE","0.3"
"ZnGaO","Threshold Voltage","30"
"ZnGaO","Emission Lifetime","0.82"
"ZnGaO","Operational Lifetime","5.5"
"ZnGaO","Annealing Temperature","800"
"LuAlO","EQE","10"
"LuAlO","Power Efficiency","12"
"LuAlO","Threshold Voltage","50"
"LuAlO","Emission Lifetime","1.65"
"LuAlO","Annealing Temperature","1100"
"YbO","EQE","8.5"
"YbO","Power Efficiency","10"
"YbO","Threshold Voltage","60"
"YbO","Annealing Temperature","1000"
"YbAlO","EQE","5.2"
"YbAlO","Power Efficiency","4.8"
"YbAlO","Threshold Voltage","5"
"YbAlO","Emission Lifetime","1.2"
"YbAlO","Annealing Temperature","1100"
"GaO","EQE","36"
"GaO","Power Efficiency","81"
"GaO","Threshold Voltage","15"
"GaO","Emission Lifetime","2.04"
"GaO","Operational Lifetime","100"
"GaO","Annealing Temperature","900"
"AlO:YO","EQE","8.7"
"AlO:YO","Annealing Temperature","800"
"AlO:Yb","EQE","24"
"AlO:Yb","Power Efficiency","28"
"AlO:Yb","Threshold Voltage","14"
"AlO:Yb","Emission Lifetime","0.9"
