ml,ppL,perf_val
Y3Ga5O12,EQE,2.5
Y3Ga5O12,threshold_voltage,25
Y3Ga5O12,power_efficiency,3.8
Y3Ga5O12,annealing_temperature,800.0
Y3Ga5O12,emission_lifetime_tau,2.26
Y3Ga5O12,operational_lifetime_OLT,49.0
Gd3Ga5O12,EQE,1.9
Gd3Ga5O12,threshold_voltage,30
Gd3Ga5O12,power_efficiency,3.6
Gd3Ga5O12,annealing_temperature,1000.0
Gd3Ga5O12,emission_lifetime_tau,1.59
ZnGa2O4,EQE,0.3
ZnGa2O4,threshold_voltage,30
ZnGa2O4,annealing_temperature,800.0
ZnGa2O4,emission_lifetime_tau,0.82
ZnGa2O4,operational_lifetime_OLT,5.5
Lu3Al5O12,EQE,10.0
Lu3Al5O12,threshold_voltage,50
Lu3Al5O12,power_efficiency,12.0
Lu3Al5O12,annealing_temperature,1100.0
Lu3Al5O12,emission_lifetime_tau,1.65
Yb2O3,EQE,8.5
Yb2O3,threshold_voltage,60
Yb2O3,power_efficiency,10.0
Yb2O3,annealing_temperature,1000.0
Yb3Al5O12,EQE,5.2
Yb3Al5O12,threshold_voltage,~5
Yb3Al5O12,power_efficiency,4.8
Yb3Al5O12,annealing_temperature,1100.0
Yb3Al5O12,emission_lifetime_tau,1.2
Ga2O3,EQE,36.0
Ga2O3,threshold_voltage,~15
Ga2O3,power_efficiency,81.0
Ga2O3,annealing_temperature,900.0
Ga2O3,emission_lifetime_tau,2.04
Ga2O3,operational_lifetime_OLT,100.0
Al2O3-Y2O3,EQE,8.7
Al2O3-Y2O3,power_efficiency,12.0
Al2O3-Y2O3,annealing_temperature,800.0
Al2O3:Yb,EQE,24.0
Al2O3:Yb,threshold_voltage,~14
Al2O3:Yb,power_efficiency,28.0
Al2O3:Yb,emission_lifetime_tau,0.9
