"ml","ppL","perf_val"
"Y3Ga5O12","EQE","2.5"
"Y3Ga5O12","threshold voltage","25"
"Y3Ga5O12","power efficiency","3.8"
"Y3Ga5O12","annealing temperature","800"
"Y3Ga5O12","emission lifetime τ","2.26"
"Y3Ga5O12","operational lifetime OLT","49"
"Gd3Ga5O12","EQE","1.9"
"Gd3Ga5O12","threshold voltage","30"
"Gd3Ga5O12","power efficiency","3.6"
"Gd3Ga5O12","annealing temperature","1000"
"Gd3Ga5O12","emission lifetime τ","1.59"
"Gd3Ga5O12","operational lifetime OLT",""
"ZnGa2O4","EQE","0.3"
"ZnGa2O4","threshold voltage","30"
"ZnGa2O4","power efficiency",""
"ZnGa2O4","annealing temperature","800"
"ZnGa2O4","emission lifetime τ","0.82"
"ZnGa2O4","operational lifetime OLT","5.5"
"Lu3Al5O12","EQE","10"
"Lu3Al5O12","threshold voltage","50"
"Lu3Al5O12","power efficiency","12"
"Lu3Al5O12","annealing temperature","1100"
"Lu3Al5O12","emission lifetime τ","1.65"
"Lu3Al5O12","operational lifetime OLT",""
"Yb2O3","EQE","8.5"
"Yb2O3","threshold voltage","60"
"Yb2O3","power efficiency","10"
"Yb2O3","annealing temperature","1000"
"Yb2O3","emission lifetime τ",""
"Yb2O3","operational lifetime OLT",""
"Yb3Al5O12","EQE","5.2"
"Yb3Al5O12","threshold voltage","~5"
"Yb3Al5O12","power efficiency","4.8"
"Yb3Al5O12","annealing temperature","1100"
"Yb3Al5O12","emission lifetime τ","1.2"
"Yb3Al5O12","operational lifetime OLT",""
"Ga2O3","EQE","36"
"Ga2O3","threshold voltage","~15"
"Ga2O3","power efficiency","81"
"Ga2O3","annealing temperature","900"
"Ga2O3","emission lifetime τ","2.04"
"Ga2O3","operational lifetime OLT","100"
"Al2O3-Y2O3","EQE","8.7"
"Al2O3-Y2O3","threshold voltage",""
"Al2O3-Y2O3","power efficiency","12"
"Al2O3-Y2O3","annealing temperature","800"
"Al2O3-Y2O3","emission lifetime τ",""
"Al2O3-Y2O3","operational lifetime OLT",""
"Al2O3:Yb","EQE","24"
"Al2O3:Yb","threshold voltage","~14"
"Al2O3:Yb","power efficiency","28"
"Al2O3:Yb","annealing temperature",""
"Al2O3:Yb","emission lifetime τ","0.90"
"Al2O3:Yb","operational lifetime OLT",""
