"matrix","process_material","eqe","metal_precursor","co_reactant","gpc","temp"
"Y3Ga5O12","Y2O3","2.5","Y(thd)3","O3","0.22-0.23","250-300"
"Y3Ga5O12","Y2O3","2.5","Y(thd)3","O2 plasma","0.3","200-300"
"Gd3Ga5O12","Gd2O3","1.9","Gd(thd)3","O3","0.31","300"
"Gd3Ga5O12","Gd2O3","1.9","Gd(iPrCp)3","H2O","0.8","250"
"ZnGa2O4","ZnO","0.3","","","","",""
"Lu3Al5O12","Lu2O3","10","Lu(thd)3","H2O","_","330"
"Lu3Al5O12","Lu2O3","10","Lu(iPrCp)3","H2O","_",""
"Yb2O3","Yb2O3","8.5","Yb(thd)3","O3","0.15-0.2","250-400"
"Yb3Al5O12","Yb2O3","5.2","Yb(thd)3","O3","0.15-0.2","250-400"
"Ga2O3","Ga2O3","36","Ga(acac)3","O3","0.38","325-400"
"Al2O3-Y2O3","Al2O3","8.7","Al(acac)3","H2O","","200-300"
"Al2O3-Y2O3","Y2O3","8.7","Y(thd)3","O3","0.22-0.23","250-300"
"Al2O3:Yb","Al2O3","24","Al(acac)3","H2O","","200-300"
"Al2O3:Yb","Yb2O3","24","Yb(thd)3","O3","0.15-0.2","250-400"
