"matrix","process_material","eqe","metal_precursor","co_reactant","gpc","temp"
"ZnS","Tb","0.32","Tb(thd)","O","0.22-0.23","250-300"
"CaS","Tb,Ce,Eu","0.32","Ce(thd)","O","0.32","175-375"
"SrS","Tb,Ce","0.32","Ce(thd)","O","0.32","175-375"
"AlO","Er,Yb","0.12","Er(thd)","O plasma","0.50","200-300"
"YO","Er,Eu","0.20-0.25","Er(thd)","O","0.20-0.25","250-375"
"YGaO","Er","0.23","Er(thd)","EtGa","0.23","350"
"ZrO","Y,La,Dy","0.31","Y(thd)","O","0.31","300"
"HfO","Y,La,Pr,Gd,Er,Dy","0.31","Y(thd)","O","0.31","300"
"HfO/ZrO","Y,La,Gd","0.39-0.53","Y(thd)","O","0.39-0.53","300"
"GaO","Nd,Er","0.10","Nd(thd)","O","0.10","280-480"
"GeO","Er","0.43","Er(thd)","O","0.43","200-300"
"YbO","Er","0.15-0.2","Er(thd)","O","0.15-0.2","250-400"
"TiO","La,Pr,Nd,Sm,Eu,Tb,Dy,Ho,Er,Tm,Yb","0.20","La(thd)","O","0.20","280-480"
"YDC","Y","0.18","Y(thd)","O","0.18","335-350"
"SrTiO","La","0.55","La(thd)","TMA","0.55","270"
"YO","Eu","0.38-0.45","Eu(thd)","O","0.38-0.45","300"
"YVO","Nd,Sm,Eu,Tb,Dy,Ho,Er,Tm,Yb","0.15-0.17","Y(thd)","VO(thd)","0.15-0.17","260-300"
"GdGaO","Er","0.19","Gd(thd)","TEGa","0.19","350"
"YbAlO","Er","0.20","Yb(thd)","TMA","0.20","350"
"LuAlO","Er","0.35","Lu(thd)","TMA","0.35","300"
"ZnGaO","Er","0.12","Zn(thd)","O","0.12","280-480"
"SrSnO","La","0.58","Sr(thd)","O","0.58","225-250"
