Material,Precursor 1,Precursor 2,Precursor 3,Precursor 4,GPC [Å],T [°C],Refs.,doi
Sc 2 O 3,Sc(thd) 3,O 3,,,0.13,335-375,[125],10.1021/cm011138z
Sc 2 O 3,Sc(Cp) 3,H 2 O,,,0.75,250-350,[125],10.1021/cm011138z
Sc 2 O 3,Sc( iPr Cp) 3,O 3,,,0.60-1.00,250-375,[207],10.1149/1.3122114
Sc 2 O 3,Sc( iPr2 amd) 3,H 2 O,,,0.3,290,[104],10.1149/1.2191131
Sc 2 O 3,Sc( Me Cp) 3,H 2 O,,,0.65,300,[208],10.1149/2.0021411jss
Sc 2 O 3,Sc( Me Cp) 3,H 2 O,,,0.65,300,[209],10.1021/cm403390j
Sc 2 O 3,Sc( Me Cp) 3,H 2 O,,,0.65,300,[210],10.1016/j.apsusc.2019.01.288
Sc 2 O 3,Sc( Me2 pz)( Me Cp) 2,O 3,,,1.09-1.94,"225,275",[211],10.1116/1.5059695
ScAlO 3,Sc( Me Cp) 3,TMA,H 2 O,,0.65,300,[194],10.1002/pssa.201330080
YScO 3,Y(thd) 3,Sc(thd) 3,O 3,,0.18,335-350,[192],10.1039/b514083h
YScO 3,Y( Me Cp) 3,Cp 3 Sc,H 2 O,,1.07,300,[192],10.1039/b514083h
DyScO 3,Sc(thd) 3,Dy(thd) 3,O 3,,0.43,350,[193],10.1116/1.3533765
Y 2 O 3,Y(thd) 3,O 3,,,0.22-0.23,250-300,[50],10.1002/cvde.200306266
Y 2 O 3,Y(thd) 3,O 3,,,0.22-0.23,250-300,[58],10.1002/amo.860040602
Y 2 O 3,Y(thd) 3,O 3,,,0.22-0.23,250-300,[157],10.1063/1.2061347
Y 2 O 3,Y(thd) 3,O 3,,,0.22-0.23,250-300,[160],10.1063/1.2748629
Y 2 O 3,Y(thd) 3,O 3,,,0.22-0.23,250-300,[189],10.1016/s0167-9317(01)00667-0
Y 2 O 3,Y(thd) 3,O 3,,,0.22-0.23,250-300,[212],10.1002/1521-3862(200101)7:1<44::aid-cvde44>3.0.co;2-q
Y 2 O 3,Y(thd) 3,O 3,,,0.22-0.23,250-300,[213],10.1016/j.aca.2004.11.073
Y 2 O 3,Y(thd) 3,O 3,,,0.22-0.23,250-300,[214],10.3390/nano13050849
Y 2 O 3,Y(thd) 3,O 2 plasma,,,0.3,200-300,[158],10.1063/1.2214299
