"Title","material","precursor chemistries for adsorption","energy source for etching/desorption"
"Atomic layer etching of Al2O3 using BCl3/Ar for the interface passivation layer of III–V MOS devices - Contribution","Al2O3","BCl3","Ar neutral beam"
"Understanding time-resolved processes in atomic-layer etching of ultra-thin Al2O3 film using BCl3 and Ar neutral beam - Contribution","Al2O3","BCl3","Ar neutral beam"
"Atomic layer etching of BeO using BCl3/Ar for the interface passivation layer of III–V MOS devices - Contribution","BeO","BCl3","Ar neutral beam"
"Digital etching of GaAs: New approach of dry etching to atomic ordered processing - Contribution","III-V:GaAs","Cl2","Electron bombardment"
"Layer-By-Layer Controlled Digital Etching by Means of an Electron-Beam-Excited Plasma System - Contribution","III-V:GaAs","Cl2","low-energy Ar+ ions"
"Surface processes in digital etching of GaAs - Contribution","","",""
"Study of Surface Processes in the Digital Etching of GaAs - Contribution","III-V:GaAs","Cl2","low-energy Ar+ ions"
"Digital Etching Using KrF Excimer Laser: Approach to  Atomic-Order-Controlled Etching by Photo Induced Reaction - Contribution","III-V:GaAs","Cl2","248 nm KrF excimer laser and Ti sapphire laser"
"Digital etching by using a laser beam: on the control of digital etching products - Contribution","III-V:GaAs","Cl2","248 nm KrF excimer laser and Ti sapphire laser"
"Molecular layer etching of GaAs - Contribution","III-V:GaAs","Cl2/Ar plasma","Ar ions from ECR plasma"
"Controllable layer-by-layer etching of III–V compound semiconductors with an electron cyclotron resonance source - Contribution","III-V:GaAs,","Cl2/Ar plasma","Ar ions from ECR plasma"
"Atomic layer etching of (100)/(111) GaAs with chlorine and low angle forward reflected Ne neutral beam - Contribution","III-V:GaAs","Cl2","Ne neutral beam"
"Digital Etching of (001) InP Substrate by Intermittent Injection of Tertiarybutylphosphine in Ultrahigh Vacuum - Contribution","III-V:InP","Tertiarybutylphosphine","Halogen lamp desorption"
"Atomic layer etching of InP using a low angle forward reflected Ne neutral beam - Contribution","III-V:InP(andInAlAs,InGaAs)","$Cl2$","Ne neutral beam"
"Highly selective and low damage atomic layer etching of InP∕InAlAs heterostructures for high electron mobility transistor fabrication - Contribution","III-V:InP(andInAlAs,InGaAs)","$Cl2$","Ne neutral beam"
"A Two-Step-Recess Process Based on Atomic-Layer Etching for High-Performance $\hbox{In}_{0.52}\hbox{Al}_{0.48}\hbox{As}\hbox{/}\hbox{In}_{0.53} \hbox{Ga}_{0.47}\hbox{As}$ p-HEMTs - Contribution","III-V:InP(andInAlAs,InGaAs)","$Cl2$","Ne neutral beam"
"Atomic-layer etching of Ge using an ultraclean ECR plasma - Contribution","Ge","$Cl2$","Ar ions from ECR plasma"
"Atomic-layer surface reaction of chlorine on Si and Ge assisted by an ultraclean ECR plasma - Contribution","Ge(andSi,SiGe)","Cl2$","Ar ions from ECR plasma"
"Atomic layer etching of graphene for full graphene device fabrication - Contribution","Graphene","O2 plasma","Ar neutral beam"
"Layer by Layer Etching of the Highly Oriented Pyrolythic Graphite by Using Atomic Layer Etching - Contribution","Graphite","O2 plasma","Ar neutral beam"
"Precise Depth Control and Low-Damage Atomic-Layer Etching of HfO[sub 2] using BCl[sub 3] and Ar Neutral Beam - Contribution","HfO2","BCl3","Ar neutral beam"
"Atomic layer etching of ultra-thin HfO<sub>2</sub>film for gate oxide in MOSFET devices - Contribution","HfO2","BCl3","Ar neutral beam"
"A novel damage-free high-k etch technique using neutral beam-assisted atomic layer etching (NBALE) for sub-32nm technology node low power metal gate/high-k dielectric CMOSFETs - Contribution","HfO2","$Cl2$","Ar neutral beam"
"Feasibility of atomic layer etching of polymer material based on sequential O2 exposure and Ar low-pressure plasma-etching - Contribution","Polymer(Polystyrene)","02","Ar ions from CCP plasma"
"Digital chemical vapor deposition and etching technologies for semiconductor processing - Contribution","Si","CF4+O2 plasma","Ar ions from ECR plasma"
"Atomic Layer Controlled Digital Etching of Silicon - Contribution","Si","CF4/O2,NF3/N2,orF2/Heplasmas","Ar ions from ECR plasma"
"Self-limited layer-by-layer etching of Si by alternated chlorine adsorption and Ar+ ion irradiation - Contribution","Si","Cl2","Ar ions from ECR plasma"
"Substrate orientation dependence of self-limited atomic-layer etching of Si with chlorine adsorption and low-energy Ar+ irradiation - Contribution","Si","Cl2","Ar ions from ECR plasma"
"Molecular dynamics simulation of atomic layer etching of silicon - Contribution","Si","Cl2","50 eV Ar ions (MD simulation)"
"Realization of atomic layer etching of silicon - Contribution","Si","Cl2","Ar ions from helical resonator plasma"
"Layer-by-layer etching of Cl-adsorbed silicon surfaces by low energy Ar+ ion irradiation - Contribution","Si","Cl2","Ar ions from helicon plasma"
"Precise Depth Control of Silicon Etching Using Chlorine Atomic Layer Etching - Contribution","Si","Cl2","Ar ions from ICP type ion gun"
"Metal/Insulator/Semiconductor Structure Using Ga2O3 Layer by Plasma Enhanced Atomic Layer Depositions - Contribution","Si","Cl2","Ar neutral beam"
"Atomic Layer Etching of Si(100) and Si(111) Using Cl[sub 2] and Ar Neutral Beam - Contribution","Si","Cl2","Ar neutral beam"
"Surface Roughness Variation during Si Atomic Layer Etching by Chlorine Adsorption Followed by an Ar Neutral Beam Irradiation - Contribution","Si","Cl2","Ar neutral beam"
"Surface Analysis of Atomic-Layer-Etched Silicon by Chlorine - Contribution","Si","Cl2","Ar neutral beam"
"Comparison of atomic scale etching of poly-Si in inductively coupled Ar and He plasmas - Contribution","Si","Cl2","Ar or He ions from ICP source"
"Plasma atomic layer etching using conventional plasma equipment - Contribution","Si","Cl2/Ar plasma","Ar ions from ICP source"
"Atomic-order layer-by-layer role-share etching of silicon nitride using an electron cyclotron resonance plasma - Contribution","Si3N4","H2 plasma","Ion bombardment from Ar/H2 ECR plasma"
"Alternative process for thin layer etching: Application to nitride spacer etching stopping on silicon germanium - Contribution","Si3N4","IonimplantationfromH2 plasma","Wet etching (aqueous HF solution)"
"A molecular dynamics investigation of fluorocarbon based layer-by-layer etching of silicon and SiO2 - Contribution","SiO2(andSi)","CFx+ionsorradicaladsorption","Ar ions (MD simulation)"
"Plasma atomic layer etching using conventional plasma equipment - Contribution","SiO2","C4F8/Ar plasma","Ion bombardment from C4Fg/Ar ICP plasma"
"Plasma atomic layer etching using conventional plasma equipment - Contribution","SiO2","C4F8/Ar plasma","Ar ions from magnetically enhanced plasma"
"Superhydrophobic polytetrafluoroethylene surfaces with leaf-like micro-protrusions through Ar + O2 plasma etching process - Contribution","SiO2","C4F8/Ar plasma","Ar ions from ICP source"
"Etch Characteristics of TiO2 Etched by Using an Atomic Layer Etching technique with BCl3 Gas and an Ar Neutral Beam - Contribution","TiO2","BCl3","Ar neutral beam"
"Fabrication of Flexible Transparent Conductive Film (TCF) Using Single Walled Carbon Nanotubes - Contribution","ZrO2","BCl3","Ar neutral beam"
