orkg:P183142,orkg:P183143,orkg:P9071,paper:doi,paper:research_field
resource:BCl3,Ar neutral beam,resource:Al2O3,10.1016/j.mee.2013.03.170,R254
resource:BCl3,Ar neutral beam,resource:Al2O3,10.1063/1.4894523,R254
resource:BCl3,Ar neutral beam,resource:BeO,10.1016/j.mee.2013.10.003,R254
resource:Cl2,Electron bombardment,resource:III-V:GaAs,10.1063/1.103171,R254
resource:Cl2,low-energy Ar+ ions,resource:III-V:GaAs,10.1143/jjap.29.2216,R254
resource:Cl2,low-energy Ar+ ions,resource:III-V:GaAs,10.1016/0040-6090(93)90142-c,R254
resource:Cl2,low-energy Ar+ ions,resource:III-V:GaAs,10.1143/jjap.31.2212,R254
resource:Cl2,248 nm KrF excimer laser and Ti sapphire laser,resource:III-V:GaAs,10.1143/jjap.32.6178,R254
resource:Cl2,248 nm KrF excimer laser and Ti sapphire laser,resource:III-V:GaAs,10.1016/0169-4332(94)90396-4,R254
resource:Cl2/Ar plasma,Ar ions from ECR plasma,resource:III-V:GaAs,10.1063/1.106477,R254
resource:Cl2/Ar plasma,Ar ions from ECR plasma,"resource:III-V:GaAs,",10.1116/1.586889,R254
resource:Cl2,Ne neutral beam,resource:III-V:GaAs,10.1016/j.surfcoat.2008.06.123,R254
resource:Tertiarybutylphosphine,Halogen lamp desorption,resource:III-V:InP,10.1143/JJAP.37.L1509,R254
resource:$Cl2$,Ne neutral beam,"resource:III-V:InP(andInAlAs,InGaAs)",10.1063/1.2221504,R254
resource:$Cl2$,Ne neutral beam,"resource:III-V:InP(andInAlAs,InGaAs)",10.1063/1.2754636,R254
resource:$Cl2$,Ne neutral beam,"resource:III-V:InP(andInAlAs,InGaAs)",10.1109/ted.2008.923522,R254
resource:$Cl2$,Ar ions from ECR plasma,resource:Ge,10.1016/s0169-4332(96)01026-4,R254
resource:Cl2$,Ar ions from ECR plasma,"resource:Ge(andSi,SiGe)",10.1016/s0039-6028(97)00994-1,R254
resource:O2 plasma,Ar neutral beam,resource:Graphene,10.1016/j.carbon.2011.08.058,R254
resource:O2 plasma,Ar neutral beam,resource:Graphite,10.1149/2.061112jes,R254
resource:BCl3,Ar neutral beam,resource:HfO2,10.1149/1.2832427,R254
resource:BCl3,Ar neutral beam,resource:HfO2,10.1088/0022-3727/42/5/055202,R254
resource:$Cl2$,Ar neutral beam,resource:HfO2,10.1109/IEDM.2009.5424330,R254
resource:02,Ar ions from CCP plasma,resource:Polymer(Polystyrene),10.1063/1.4812750,R254
resource:CF4+O2 plasma,Ar ions from ECR plasma,resource:Si,10.1116/1.576814,R254
"resource:CF4/O2,NF3/N2,orF2/Heplasmas",Ar ions from ECR plasma,resource:Si,10.1143/jjap.29.2648,R254
resource:Cl2,Ar ions from ECR plasma,resource:Si,10.1063/1.110340,R254
resource:Cl2,Ar ions from ECR plasma,resource:Si,10.1016/0169-4332(94)90252-6,R254
resource:Cl2,50 eV Ar ions (MD simulation),resource:Si,10.1116/1.579659,R254
resource:Cl2,Ar ions from helical resonator plasma,resource:Si,10.1116/1.588651,R254
resource:Cl2,Ar ions from helicon plasma,resource:Si,10.1016/s0169-4332(01)00826-1,R254
resource:Cl2,Ar ions from ICP type ion gun,resource:Si,10.1143/jjap.44.389,R254
resource:Cl2,Ar neutral beam,resource:Si,10.3938/jkps.47.292,R254
resource:Cl2,Ar neutral beam,resource:Si,10.1149/1.1938848,R254
resource:Cl2,Ar neutral beam,resource:Si,10.1149/1.2073667,R254
resource:Cl2,Ar neutral beam,resource:Si,10.1149/1.2426414,R254
resource:Cl2,Ar or He ions from ICP source,resource:Si,10.1007/s11814-007-0023-9,R254
resource:Cl2/Ar plasma,Ar ions from ICP source,resource:Si,10.1116/1.3021361,R254
resource:H2 plasma,Ion bombardment from Ar/H2 ECR plasma,resource:Si3N4,10.1063/1.124165,R254
resource:IonimplantationfromH2 plasma,Wet etching (aqueous HF solution),resource:Si3N4,10.1063/1.4892543,R254
resource:CFx+ionsorradicaladsorption,Ar ions (MD simulation),resource:SiO2(andSi),10.1063/1.2464192,R254
resource:C4F8/Ar plasma,Ion bombardment from C4Fg/Ar ICP plasma,resource:SiO2,10.1116/1.3021361,R254
resource:C4F8/Ar plasma,Ar ions from magnetically enhanced plasma,resource:SiO2,10.1116/1.3021361,R254
resource:C4F8/Ar plasma,Ar ions from ICP source,resource:SiO2,10.1016/j.vacuum.2013.04.020,R254
resource:BCl3,Ar neutral beam,resource:TiO2,10.3938/jkps.54.976,R254
resource:BCl3,Ar neutral beam,resource:ZrO2,10.1166/jnn.2009.1781,R254
