idx,raw_ref,best_doi,best_title,best_container_title,best_year,best_volume,best_page,best_article_number,score,decision
1,"[1] V. M. Donnelly and A. Kornblit, “Plasma etching: Yesterday, today, and tomorrow,” Journal of Vacuum Science & Technology A, 31, 050825 (2013).",,,,,,,,,no_match
2,"[2] N. Marchack and J. P. Chang, “Perspectives in nanoscale plasma etching: what are the ultimate limits?,” Journal of Physics D-Applied Physics, 44, 174011 (2011).",10.1088/0022-3727/44/17/174011,Perspectives in nanoscale plasma etching: what are the ultimate limits?,Journal of Physics D: Applied Physics,2011,44,174011,,100,accepted
3,"[3] C. G. N. Lee, K. J. Kanarik, and R. A. Gottscho, “The grand challenges of plasma etching: a manufacturing perspective,” Journal of Physics D-Applied Physics, 47, 273001 (2014).",10.1088/0022-3727/47/27/273001,The grand challenges of plasma etching: a manufacturing perspective,Journal of Physics D: Applied Physics,2014,47,273001,,100,accepted
4,"[4] S. Banna, A. Agarwal, G. Cunge, M. Darnon, E. Pargon, and O. Joubert, “Pulsed high-density plasmas for advanced dry etching processes,” Journal of Vacuum Science & Technology A, 30, 040801 (2012).",,,,,,,,,no_match
5,"[5] D. J. Economou, “Pulsed plasma etching for semiconductor manufacturing,” Journal of Physics D-Applied Physics, 47, 303001 (2014).",10.1088/0022-3727/47/30/303001,Pulsed plasma etching for semiconductor manufacturing,Journal of Physics D: Applied Physics,2014,47,303001,,95,accepted
6,"[6] C. Petit-Etienne,M.Darnon, P. Bodart,M. Fouchier, G. Cunge, E. Pargon, L.Vallier, O. Joubert, and S. Banna, “Atomic-scale silicon etching control using pulsed Cl2 plasma,” Journal of Vacuum Science & Technology B, 31, 011201 (2013).",,,,,,,,,no_match
7,"[7] S. Samukawa, M. Hori, S. Rauf, K. Tachibana, P. Bruggeman, G. Kroesen, J. C. Whitehead, A. B. Murphy, A. F. Gutsol, S. Starikovskaia, U. Kortshagen, J. P. Boeuf, T. J. Sommerer, M. J. Kushner, U. Czarnetzki, and N. Mason, “The 2012 Plasma Roadmap,” Journal of Physics D-Applied Physics, 45, 37 (2012).",10.1088/0022-3727/45/25/253001,The 2012 Plasma Roadmap,Journal of Physics D: Applied Physics,2012,45,253001,,80,accepted
8,"[8] M. Guillorn, J. Chang, N. Fuller, J. Patel, M. Darnon, A. Pyzyna, E. Joseph, S. Engelmann, J. Ott, J. Newbury, D. Klaus, J. Bucchignano, P. Joshi, C. Scerbo, E. Kratschmer, W. Graham, B. To, J. Parisi, Y. Zhang, and W. Haensch, “Hydrogen silsesquioxane-based hybrid electron beam and optical lithography for high density circuit prototyping”, J. Vac. Sci. Technol. B., 27, 2588 (2009).",,,,,,,,,no_match
9,"[9] A. Agarwal and M. J. Kushner, “Plasma atomic layer etching using conventional plasma equipment,” Journal of Vacuum Science & Technology A, 27(1), 37 (2009).",10.1116/1.3021361,,,,,,,,accepted
10,"[10] K. J. Kanarik, S. Tan, J. Holland,A. Eppler,V.Vahedi, J.Marks, and R. A. Gottscho, “Moving atomic layer etch from lab to fab,” Solid State Technology, 56, 14 (2013).",,,,,,,,,no_match
