material,reactant_1,reactant_2,reactant_3,n_reports
Al2O3,HF,TMA,,1
Al2O3,HF,"TMA, DMAC",,1
Al2O3,HF,DMAC,,3
Al2O3,HF,"HF, SF4",Sn(acac)2,1
Al2O3,HF,Sn(acac)2,,3
Al2O3,HF,"Sn(acac)2, TMA, DMAC, SiCl4",,1
Al2O3,CHF3,TMA,,1
AlF3,HF,Sn(acac)2,,1
AlN,HF,Sn(acac)2,,1
Co,Cl2,"Hhfac, Hacac",,1
Co,O2,Hhfac,,1
Cu,O3,Hhfac,,1
Fe,Cl2,Hacac,,1
Ga2O3,HF,"BCl3, DMAC, TMA, TiCl4, Ga[N(CH3)2]3",,1
GaN,XeF2,BCl3,,1
Ge,Cl2,Thermal cycling,,1
HfO2,HF,Sn(acac)2,,1
HfO2,HF,"Sn(acac)2, TMA, DMAC, SiCl4",,1
HfO2,HF,TiCl4,,1
HfO2,HF,DMAC,,1
HfO2,HF,"DMAC, TiCl4",,1
HfO2,"HF, XeF2, SF4","DMAC, TiCl4",,1
HfZrO2,HF,"DMAC, TiCl4",,1
HfZrO2,"HF, XeF2, SF4","DMAC, TiCl4",,1
InGaAs,HF,DMAC,,2
InAlAs,HF,DMAC,,1
InGaZnO4,HF,DMAC,,1
Mo,O3,BCl3,HF,1
Ni,O2,H+hfac,,1
Si,O2,HF,TMA,1
Si,"ClF3, BrF3, BrF5, IF5",, ,1
Si,Cl2,Thermal cycling,,1
