"material","reactant_1","reactant_2","reactant_3","n_reports"
"AlO2","HF","TMA","","4"
"AlO2","HF","TMA,DMAC","","1"
"AlO2","HF","DMAC","","3"
"AlO2","HF","Sn(acac)2","","2"
"AlO2","HF","Sn(acac)2,TMA,DMAC,SiCl4","","1"
"AlO2","CHF3","TMA","","1"
"AlF3","HF","Sn(acac)2","","1"
"AlN","HF","Sn(acac)2","","1"
"Co","Cl","Hhfac,Hacac","","1"
"CoO","Hhfac","","","1"
"CuO","Hhfac","","","1"
"Fe","Cl","Hacac","","1"
"GaO","HF","BCl3,DMAC,TMA,TiCl4,Ga[N(CH3)2]4","","1"
"GaN","XeF2","BCl3","","1"
"Ge","Cl","Thermalcycling","","1"
"HfO2","HF","Sn(acac)2","","2"
"HfO2","HF","Sn(acac)2,TMA,DMAC,SiCl4","","1"
"HfO2","HF","DMAC","","2"
"HfO2","HF","TiCl4","","1"
"HfO2","HF,DFT study of fluorination reaction","DMAC,TiCl4","","1"
"HfZrO","HF","DMAC,TiCl4","","1"
"HfZrO","HF,XeF2,SF4","DMAC,TiCl4","","1"
"InGaAs","HF","DMAC","","2"
"InAlAs","HF","DMAC","","1"
"InGaZnO4","HF","DMAC","","1"
"MoO3","BCl3","HF","","1"
"NiO","Hhfac","","","1"
"SiO2","HF","TMA","","2"
"SiO2","CHF3","TMA","","1"
"Si3N4","O, HF","TMA","","1"
"Si","ClF3,BrF3,BrF5,IF5","","","1"
"Si","Thermalcycling","","","1"
"TiN","O, HF","","","1"
"TiN","CHF3/O downstream plasma","Thermalcycling","","1"
"TiO2","WF6","BCl3","","2"
"VO","HF,SF4","Sn(acac)2","","1"
"WO3","BCl3","HF","","1"
"WO3","WF6","XeF2","","1"
"WO3","WCl6","","","1"
"ZnO","Hacac","O plasma","","1"
"ZnO","HF","TMA","","1"
"ZrO2","HF","Sn(acac)2,TMA,DMAC,SiCl4","","1"
"ZrO2","HF","DMAC","","2"
"ZrO2","HF,DFT study of fluorination reaction","DMAC,TiCl4","","1"
