"Title","material etched","reactant 1","reactant 2","reactant 3"
"Effect of HF Pressure on Thermal Al<sub>2</sub>O<sub>3</sub>Atomic Layer Etch Rates and Al<sub>2</sub>O<sub>3</sub>Fluorination - Contribution","Al2O3","HF","TMA",""
"Volatile Etch Species Produced during Thermal Al<sub>2</sub>O<sub>3</sub> Atomic Layer Etching - Contribution","Al2O3","HF","TMA,DMAC",""
"Competition between Al2O3 atomic layer etching and AlF3 atomic layer deposition using sequential exposures of trimethylaluminum and hydrogen fluoride - Contribution","Al2O3","HF","TMA",""
"Railway Vehicle Wheel Restoration by Submerged Arc Welding and Its Characterization - Contribution","Al2O3","HF","DMAC",""
"Antioxidant Properties of Western Georgia Native Khechechuri Pear - Contribution","Al2O3","HF","DMAC",""
"Prospects for Thermal Atomic Layer Etching Using Sequential, Self-Limiting Fluorination and Ligand-Exchange Reactions - Contribution","Al2O3","HF","TMA",""
"SF<sub>4</sub> as the Fluorination Reactant for Al<sub>2</sub>O<sub>3</sub> and VO<sub>2</sub> Thermal Atomic Layer Etching - Contribution","Al2O3","HF,SF4","Sn(acac)2",""
"Enhanced atomic layer etching of native aluminum oxide for ultraviolet optical applications - Contribution","Al2O3","HF","TMA",""
"Atomic Layer Etching of Al<sub>2</sub>O<sub>3</sub> Using Sequential, Self-Limiting Thermal Reactions with Sn(acac)<sub>2</sub> and Hydrogen Fluoride - Contribution","Al2O3","HF","Sn(acac)2",""
"Mechanism of Thermal Al<sub>2</sub>O<sub>3</sub> Atomic Layer Etching Using Sequential Reactions with Sn(acac)<sub>2</sub> and HF - Contribution","Al2O3","HF","Sn(acac)2",""
"Selectivity in Thermal Atomic Layer Etching Using Sequential, Self-Limiting Fluorination and Ligand-Exchange Reactions - Contribution","Al2O3","HF","Sn(acac)2,TMA,DMAC,SiCl4",""
"Trimethylaluminum as the Metal Precursor for the Atomic Layer Etching of Al<sub>2</sub>O<sub>3</sub> Using Sequential, Self-Limiting Thermal Reactions - Contribution","Al2O3","HF","TMA",""
"Thermal Atomic Layer Etching of Al<sub>2</sub>O<sub>3</sub>, HfO<sub>2</sub>, and ZrO<sub>2</sub> Using Sequential Hydrogen Fluoride and Dimethylaluminum Chloride Exposures - Contribution","Al2O3","HF","DMAC",""
"Thermal Atomic Layer Etching of Silica and Alumina Thin Films Using Trimethylaluminum with Hydrogen Fluoride or Fluoroform - Contribution","Al2O3","CHF3","TMA",""
"George - Contribution","Al2O3","HF","TMA",""
"Modeling the Chemical Mechanism of the Thermal Atomic Layer Etch of Aluminum Oxide: A Density Functional Theory Study of Reactions during HF Exposure - Contribution","Al2O3","HF, DFT study of fluorination reaction","TMA",""
"Atomic Layer Etching of AlF<sub>3</sub> Using Sequential, Self-Limiting Thermal Reactions with Sn(acac)<sub>2</sub> and Hydrogen Fluoride - Contribution","AlF3","HF","Sn(acac)2",""
"Thermal atomic layer etching of crystalline aluminum nitride using sequential, self-limiting hydrogen fluoride and Sn(acac)2 reactions and enhancement by H2 and Ar plasmas - Contribution","AlN","HF","Sn(acac)2",""
"Origin of the 16S Ribosomal Molecule from Ancestor tRNAs - Contribution","Co","Cl2","Hhfac,Hacac",""
"Sci—An Open Access Journal with Post-Publication Peer Review - Contribution","Co","O2","Hhfac",""
"Thermal Atomic Layer Etching of Copper by Sequential Steps Involving Oxidation and Exposure to Hexafluoroacetylacetone - Contribution","Cu","O3","Hhfac",""
"Sci—An Open Access Journal with Post-Publication Peer Review - Contribution","Fe","Cl2","Hacac",""
"Thermal Atomic Layer Etching of Gallium Oxide Using Sequential Exposures of HF and Various Metal Precursors - Contribution","Ga2O3","HF","BCl3, DMAC, TMA, TiCl4, Ga[N(CH3)2]3",""
"Thermal atomic layer etching of crystalline GaN using sequential exposures of XeF2 and BCl3 - Contribution","GaN","XeF2","BCl3",""
"Atomic layer etching of germanium - Contribution","Ge","Cl2","Thermalcycling",""
"Atomic Layer Etching of HfO<sub>2</sub>Using Sequential, Self-Limiting Thermal Reactions with Sn(acac)<sub>2</sub>and HF - Contribution","HfO2","HF","Sn(acac)2",""
"Selectivity in Thermal Atomic Layer Etching Using Sequential, Self-Limiting Fluorination and Ligand-Exchange Reactions - Contribution","HfO2","HF","Sn(acac)2,TMA,DMAC,SiCl4",""
"Thermal atomic layer etching of HfO2 using HF for fluorination and TiCl4 for ligand-exchange - Contribution","HfO2","HF","TiCl4",""
"Thermal Atomic Layer Etching of Al<sub>2</sub>O<sub>3</sub>, HfO<sub>2</sub>, and ZrO<sub>2</sub> Using Sequential Hydrogen Fluoride and Dimethylaluminum Chloride Exposures - Contribution","HfO2","HF","DMAC",""
"Science that Inspires - Contribution","HfO2","HF, DFT study of fluorination reaction","DMAC",""
"Thermal Atomic Layer Etching of Amorphous and Crystalline Hafnium Oxide, Zirconium Oxide, and Hafnium Zirconium Oxide - Contribution","HfO2","HF","DMAC,TiCl4",""
"Effect of crystallinity on thermal atomic layer etching of hafnium oxide, zirconium oxide, and hafnium zirconium oxide - Contribution","HfO2","HF,XeF2,SF4","DMAC,TiCl4",""
"Thermal Atomic Layer Etching of Amorphous and Crystalline Hafnium Oxide, Zirconium Oxide, and Hafnium Zirconium Oxide - Contribution","HfZrO2","HF","DMAC,TiCl4",""
"Effect of crystallinity on thermal atomic layer etching of hafnium oxide, zirconium oxide, and hafnium zirconium oxide - Contribution","HfZrO2","HF,XeF2,SF4","DMAC,TiCl4",""
"In Situ Thermal Atomic Layer Etching for Sub-5 nm InGaAs Multigate MOSFETs - Contribution","InAlAs","HF","DMAC",""
"In Situ Thermal Atomic Layer Etching for Sub-5 nm InGaAs Multigate MOSFETs - Contribution","InGaAs","HF","DMAC",""
"A Hybrid Approach: Dynamic Diagnostic Rules for Sensor Systems in Industry 4.0 Generated by Online Hyperparameter Tuned Random Forest - Contribution","Ni","O2","Hhfac",""
"Thermal Atomic Layer Etching of Silicon Using O<sub>2</sub>, HF, and Al(CH<sub>3</sub>)<sub>3</sub> as the Reactants - Contribution","Si","O2","HF","TMA"
"Plasmaless dry etching of silicon with fluorine-containing compounds - Contribution","Si","ClF3,BrF3,BrF5,IF5","HF","TMA"
"Atomic Layer Etching of Silicon by Thermal Desorption Method - Contribution","Si","Cl2","Thermal cycling","TMA"
"Thermal atomic layer etching of silicon nitride using an oxidation and “conversion etch” mechanism - Contribution","Si3N4","O2,O3","HF","TMA"
"Thermal Atomic Layer Etching of SiO<sub>2</sub> by a “Conversion-Etch” Mechanism Using Sequential Reactions of Trimethylaluminum and Hydrogen Fluoride - Contribution","SiO2","TMA","HF",""
"Thermal Atomic Layer Etching of Silica and Alumina Thin Films Using Trimethylaluminum with Hydrogen Fluoride or Fluoroform - Contribution","SiO2","CHF3","TMA",""
"Thermal Atomic Layer Etching of Titanium Nitride Using Sequential, Self-Limiting Reactions: Oxidation to TiO<sub>2</sub> and Fluorination to Volatile TiF<sub>4</sub> - Contribution","TiN","O3","HF","TMA"
"Rapid thermal-cyclic atomic-layer etching of titanium nitride in CHF<sub>3</sub>/O<sub>2</sub> downstream plasma - Contribution","TiN","CHF3/O2 downstream plasma","Thermal cycling","TMA"
