0,1,2,3,4,5
Material etched,Reactant Reactant 2 3,Reactant Reactant 2 3,Reactant Reactant 2 3,Reactant Reactant 2 3,Reactant Reactant 2 3
TiO2,WF6,BCl3,,Lemaire47,"Chem. Mater. 29, 6653 (2017)"
TiO2,WF6,BCl3,,Song78,"Chem. Mater. 31, 4793 (2019)"
$VO2,"HF, SF4",Sn(acac)2,,Gertsch57,"Chem. Mater. 31, 3624 (2019)"
w,0203,BCl3,HF,Johnson42,"ACS Appl. Mater. Interfaces 9, 34435"
W,"O2,03",WF6,,Xie79,"(2017) ACS Appl. Mater. Interfaces 10, 9147"
W,"O2,03",WCl6,,Xie80,"(2018) J. Vac. Sci. Technol., A 38, 022605"
WO3,"02, 03",BCl3,HF,Johnson42,"(2020) ACS Appl. Mater. Interfaces 9, 34435"
ZnO,Hacac,O2 plasma,,Mameli20,"(2017). ACS Appl. Mater. Interfaces 10, 38588"
ZnO,,,,,(2018)
ZrO2,HF HF,"TMA Sn(acac)2, TMA, DMAC,",,Zywotko40 Lee59,"Chem. Mater 29, 1183 (2017) Chem. Mater. 28, 7657 (2016)"
ZrO2,,SiCl4,,,
ZrO2,"HF HF, DFT study of",DMAC,,Lee^1 Mullins24,"J. Phys. Chem. C 123, 18455 (2019) Chem. Mater. 32, 3414 (2020)"
,fluorination reaction,,,,
ZrO2,HF,"DMAC, TiCl4",,Murdzek71,"2019 International Symposium on VLSI, TSA (2019), p. 18970301"
