Materials Surface,Surface adsorption,Surface removal,EPC (Ã/cycle),Etching temperature,Ref.,doi
Al 2 O 3,HF,Sn(acac) 2,0.61,250 °C,[16],10.1021/nn507277f
,HF,TMA,0.14/0.75,250/325 °C,[26],10.1021/acs.chemmater.6b00111
HfO 2,HF,Sn(acac) 2,0.117,250 °C,[21],10.1149/2.0041506jss
,HF,Al(CH 3 ) 2 Cl,0.77,250 °C,[29],10.1021/acs.chemmater.6b02543
ZrO 2,HF,SiCl 4 / Sn(acac) 2,0.14,350 °C/200 °C,[29],10.1021/acs.chemmater.6b02543
,HF,Al(CH 3 ) 2 Cl,0.117,250 °C,[29],10.1021/acs.chemmater.6b02543
ZnO,HF,TMA,2.19,295 °C,[33],10.1021/acs.chemmater.6b04529
TiO 2,WF 6,BCl 3,0.6-0.7,170 °C,[22],10.1021/acs.chemmater.7b00985
SiO 2,HF,TMA,0.31,300 °C,[24],10.1021/acsami.7b01259
WO 3,BCl 3,HF,4.19,207 °C,[25],10.1021/acsami.7b09161
W,O 3 /BCl 3,HF,2.5,207 °C,[25],10.1021/acsami.7b09161
,O 2,WF 6,6.3,300 °C,[34],10.1021/acsami.7b19024
TiN,O 3,HF,0.2,250 °C,[20],10.1021/acs.chemmater.7b02286
AlN,HF,Sn(acac) 2,0.36,250 °C,[30],10.1116/1.4959779
,HF,Sn(acac) 2 /H 2 plasma,1.96,250 °C,[30],10.1116/1.4959779
AlF 3,HF,Sn(acac) 2,0.069/0.63,150/250 °C,[31],10.1021/acs.jpcc.5b07236
