idx,raw_ref,best_doi,best_title,best_container_title,best_year,best_volume,best_page,best_article_number,score,decision
1,"[1] M. Guillorn, J. Chang, N. Fuller, J.J. Patel, Vac. Sci. Technol. B 27 (6) (2009) 2588–2592.",10.1116/1.3058746,"Erratum: “Thermal conductivity of B–C–N and BN nanotubes” [J. Vac. Sci. Technol. B <b>23</b>, 1883 (2005)]","Journal of Vacuum Science &amp; Technology B: Microelectronics and Nanometer Structures Processing, Measurement, and Phenomena",2009,27,199-199,,20,low_confidence
2,"[2] S. Samukawa, M. Hori, S. Rauf, K. Tachibana, P. Bruggeman, G. Kroesen, J.C. Whitehead, A.B. Murphy, A.F. Gutsol, S. Starikovskaia, U. Kortshagen, J.P. Boeuf, T.J. Sommerer, M.J. Kushner, U. Czarnetzki, J. Phys. D: Appl. Phys. 45 (25) (2012) 253001.",10.1088/0022-3727/45/25/253001,The 2012 Plasma Roadmap,Journal of Physics D: Applied Physics,2012,45,253001,,25,low_confidence
3,"[3] S.M. George, Chem. Rev. 110 (2010) 111–131.",10.1021/cr800433k,Carbon Nanotube−Inorganic Hybrids,Chemical Reviews,2010,110,1348-1385,,15,low_confidence
4,"[4] V.M. Donnelly, A. Kornblit, J. Vac. Sci. Technol. A 31 (5) (2013) 050825–050848.",10.1116/1.4819876,"Erratum: “Resonant coupling for contactless measurement of carrier lifetime” [J. Vac. Sci. Technol. B <b>31</b>, 04D113 (2013)]","Journal of Vacuum Science &amp; Technology B, Nanotechnology and Microelectronics: Materials, Processing, Measurement, and Phenomena",2013,31,,053401,15,low_confidence
5,"[5] C.G.N. Lee, K.J. Kanarik, R.A. Gottscho, J. Phys. D: Appl. Phys. 47 (27) (2014) 994–1004.",10.1088/0022-3727/47/27/273001,The grand challenges of plasma etching: a manufacturing perspective,Journal of Physics D: Applied Physics,2014,47,273001,,25,low_confidence
6,"[6] S. Banna, A. Agarwal, G. Cunge, M. Darnon, E. Pargon, O. Joubert, J. Vac. Sci. Technol. A 30 (4) (2012) 040801–040829.",10.1116/1.4716176,Pulsed high-density plasmas for advanced dry etching processes,"Journal of Vacuum Science &amp; Technology A: Vacuum, Surfaces, and Films",2012,30,,040801,25,low_confidence
7,"[7] N. Marchack, J.P. Chang, J. Phys. D: Appl. Phys. 44 (17) (2011) 174011–174021.",10.1088/0022-3727/44/17/174011,Perspectives in nanoscale plasma etching: what are the ultimate limits?,Journal of Physics D: Applied Physics,2011,44,174011,,25,low_confidence
8,"[8] T. Faraz, F. Roozeboom, H.C.M. Knoops, W.M.M. Kessels, ECS J. Solid State Sci. Technol. 4 (6) (2015) N5023–N5032.",10.1149/2.0051506jss,Atomic Layer Etching: What Can We Learn from Atomic Layer Deposition?,ECS Journal of Solid State Science and Technology,2015,4,N5023-N5032,,25,low_confidence
9,"[9] A. Sherman, Atomic Layer Deposition For Nanotechnology: an Enabling Process for Nanotechnology Fabrication, Ivoryton Press, New York, 2008.",10.1002/9781444303278,Camus,,2008,,,,20,low_confidence
10,"[10] A.D. Li, Atomic Layer Deposition Technology-Fundamental and Applications, Scientific Press, Beijing, 2016.",10.1142/9789813140622_0003,Updates for Development and Applications of Automotive High Strength Steel,Advanced High Strength Steel and Press Hardening,2016,,14-19,,20,low_confidence
11,"[11] M.N. Yoder, Atomic layer etching: U.S. Patent, 4756794A, 1988.",10.1016/0172-2190(88)90234-7,Online patent searching,World Patent Information,1988,10,85,,15,low_confidence
12,"[12] P.A. Maki, D.J. Ehrlich, Appl. Phys. Lett. 55 (1989) 91–93.",10.1063/1.102097,Laser bilayer etching of GaAs surfaces,Applied Physics Letters,1989,55,91-93,,25,low_confidence
13,"[13] H. Sakaue, K. Asami, T. Ichihara, S. Ishizuka, K.K.Y. Horiike, Digital process for advanced VLSI's and surface reaction study, MRS Proc. (1991) 222.",10.1557/proc-222-195,Digital Process for advanced VLSI's and Surface Reaction Study,MRS Proceedings,1991,222,,195,25,low_confidence
14,"[14] G.S. Oehrlein, D. Metzler, C. Li, Atomic layer etching at the tipping point: an overview, ECS J. Solid State Sci. Technol. 4 (6) (2015) N5041–N5053.",10.1149/2.0061506jss,Atomic Layer Etching at the Tipping Point: An Overview,ECS Journal of Solid State Science and Technology,2015,4,N5041-N5053,,25,low_confidence
15,"[15] C. Petit-Etienne, M. Darnon, P. Bodart, M. Fouchier, G. Cunge, E. Pargon, L. Vallier, O. Joubert, J. Vac. Sci. Technol. B 31 (1) (2013) (011201-1~8).",10.1116/1.4819876,"Erratum: “Resonant coupling for contactless measurement of carrier lifetime” [J. Vac. Sci. Technol. B <b>31</b>, 04D113 (2013)]","Journal of Vacuum Science &amp; Technology B, Nanotechnology and Microelectronics: Materials, Processing, Measurement, and Phenomena",2013,31,,053401,15,low_confidence
16,"[16] Y. Lee, S.M. George, ACS Nano 9 (2015) 2061–2070.",10.1021/nn507277f,"Atomic Layer Etching of Al<sub>2</sub>O<sub>3</sub> Using Sequential, Self-Limiting Thermal Reactions with Sn(acac)<sub>2</sub> and Hydrogen Fluoride",ACS Nano,2015,9,2061-2070,,45,accepted
17,"[17] S.M. George, Y. Lee, ACS Nano 10 (2016) 4889–4894.",10.1021/acsnano.6b02991,"Prospects for Thermal Atomic Layer Etching Using Sequential, Self-Limiting Fluorination and Ligand-Exchange Reactions",ACS Nano,2016,10,4889-4894,,45,accepted
18,"[18] C.T. Carver, J.J. Plombon, P.E. Romero, S. Suri, T.A. Tronic, R.B. Turkot, J. ECS J. Solid State Sci. Technol. 4 (2015) N5005–N5009.",10.1149/ma2015-02/26/1005,(Invited) An Industry Perspective on Atomic Layer Etching,ECS Meeting Abstracts,2015,MA2015-02,1005-1005,,25,low_confidence
19,"[19] K.J. Kanarik, T. Lill, E.A. Hudson, S. Sriraman, S. Tan, J. Marks, V. Vahedi, R.A. Gottscho, J. Vac. Sci. Technol. A 33 (2) (2015) (20802-1~14).",10.1149/2.0031506jss,Highly Selective Directional Atomic Layer Etching of Silicon,ECS Journal of Solid State Science and Technology,2015,4,N5010-N5012,,25,low_confidence
20,"[20] Y. Lee, S.M. George, Chem. Mater. 29 (2017) 8202–8210.",10.1021/acs.chemmater.7b02286,"Thermal Atomic Layer Etching of Titanium Nitride Using Sequential, Self-Limiting Reactions: Oxidation to TiO<sub>2</sub> and Fluorination to Volatile TiF<sub>4</sub>",Chemistry of Materials,2017,29,8202-8210,,25,low_confidence
21,"[21] Y. Lee, J.W. DuMont, S.M. George, ECS J. Solid State Sci. Technol. 4 (2015) N5013–N5022.",10.1149/2.0041506jss,"Atomic Layer Etching of HfO<sub>2</sub>Using Sequential, Self-Limiting Thermal Reactions with Sn(acac)<sub>2</sub>and HF",ECS Journal of Solid State Science and Technology,2015,4,N5013-N5022,,25,low_confidence
22,"[22] C. Paul, Lemaire, N.P. Gregory, Chem. Mater. 29 (2017) 6653–6665.",10.1021/acs.chemmater.7b00985,Thermal Selective Vapor Etching of TiO<sub>2</sub>: Chemical Vapor Etching via WF<sub>6</sub> and Self-Limiting Atomic Layer Etching Using WF<sub>6</sub> and BCl<sub>3</sub>,Chemistry of Materials,2017,29,6653-6665,,20,low_confidence
23,"[23] O. Joubert, E. Despiau-Pujo, G. Cunge, In: Proceedings of the Workshop on Atomic-Layer-Etch and Clean Technology. San Francisco, CA, 2014.",10.1109/snw.2014.7348579,MD simulations of chlorine plasmas interaction with ultrathin silicon films for advanced etch processes,2014 Silicon Nanoelectronics Workshop (SNW),2014,,1-2,,25,low_confidence
24,"[24] J. DuMont, A.E. Marquardt, A.M. Cano, S.M. George, ACS Appl. Mater. Interfaces 9 (2017) 10296–10307.",10.1021/acsami.7b01259,Thermal Atomic Layer Etching of SiO<sub>2</sub> by a “Conversion-Etch” Mechanism Using Sequential Reactions of Trimethylaluminum and Hydrogen Fluoride,ACS Applied Materials &amp; Interfaces,2017,9,10296-10307,,25,low_confidence
