"Title","selectivity of material","selectivity","improving etch selectivity method","precursor chemistries for fluorination","removal"
"Fluorocarbon assisted atomic layer etching of SiO2 and Si using cyclic Ar/C4F8 and Ar/CHF3 plasma - Contribution","SiO2/Si3N4","0.2–15.0","Precursor selection; Fluorocarbon film thickness; Ion energy; Etching step time","C4F8/Ar plasma","Ar plasma"
"Fluorocarbon assisted atomic layer etching of SiO2 and Si using cyclic Ar/C4F8 and Ar/CHF3 plasma - Contribution","SiO2/Si3N4","0.2–15.0","Precursor selection; Fluorocarbon film thickness; Ion energy; Etching step time","CHF3/Ar plasma","Ar plasma"
"Achieving ultrahigh etching selectivity of SiO2 over Si3N4 and Si in atomic layer etching by exploiting chemistry of complex hydrofluorocarbon precursors - Contribution","SiO2/Si3N4",">7.0","Precursor selection","C4F8/Ar plasma","Ar plasma"
"Achieving ultrahigh etching selectivity of SiO2 over Si3N4 and Si in atomic layer etching by exploiting chemistry of complex hydrofluorocarbon precursors - Contribution","SiO2/Si3N4",">7.0","Precursor selection","C4F8/H2/Ar plasma","Ar plasma"
"Achieving ultrahigh etching selectivity of SiO2 over Si3N4 and Si in atomic layer etching by exploiting chemistry of complex hydrofluorocarbon precursors - Contribution","SiO2/Si3N4",">7.0","Precursor selection","C3H3F3/Ar plasma","Ar plasma"
"Achieving ultrahigh etching selectivity of SiO2 over Si3N4 and Si in atomic layer etching by exploiting chemistry of complex hydrofluorocarbon precursors - Contribution","SiO2/Si",">10.0","Precursor selection","C4F8/Ar plasma","Ar plasma"
"Achieving ultrahigh etching selectivity of SiO2 over Si3N4 and Si in atomic layer etching by exploiting chemistry of complex hydrofluorocarbon precursors - Contribution","SiO2/Si",">10.0","Precursor selection","C4F8/H2/Ar plasma","Ar plasma"
"Achieving ultrahigh etching selectivity of SiO2 over Si3N4 and Si in atomic layer etching by exploiting chemistry of complex hydrofluorocarbon precursors - Contribution","SiO2/Si",">10.0","Precursor selection","C3H3F3/Ar plasma","Ar plasma"
"Plasma atomic layer etching of SiO2 and Si3N4 with heptafluoropropyl methyl ether (C3F7OCH3) - Contribution","SiO2/Si","2.6–17.5","Precursor selection","C4F8 plasma","Ar plasma"
"Plasma atomic layer etching of SiO2 and Si3N4 with heptafluoropropyl methyl ether (C3F7OCH3) - Contribution","SiO2/Si","2.6–17.5","Precursor selection","CHF3 plasma","O2 plasma"
"Plasma atomic layer etching of SiO2 and Si3N4 with heptafluoropropyl methyl ether (C3F7OCH3) - Contribution","SiO2/Si","2.6–17.5","Precursor selection","C3F7OCH3 plasma","O2 plasma"
"Plasma Atomic Layer Etching of SiO<sub>2</sub> and Si<sub>3</sub>N<sub>4</sub> with Low Global Warming C<sub>4</sub>H<sub>3</sub>F<sub>7</sub>O Isomers - Contribution","SiO2/Si","17.5","Precursor selection","n-C3F7OCH3 plasma","Ar plasma"
"Plasma Atomic Layer Etching of SiO<sub>2</sub> and Si<sub>3</sub>N<sub>4</sub> with Low Global Warming C<sub>4</sub>H<sub>3</sub>F<sub>7</sub>O Isomers - Contribution","SiO2/Si","102.8","Precursor selection","i-C3F7OCH3 plasma","Ar plasma"
"Plasma Atomic Layer Etching of SiO<sub>2</sub> and Si<sub>3</sub>N<sub>4</sub> with Low Global Warming C<sub>4</sub>H<sub>3</sub>F<sub>7</sub>O Isomers - Contribution","SiO2/Si","3.4","Precursor selection","CF3CF2CF2CH2OH plasma","Ar plasma"
