"Title","precursor chemistries for fluorination","removal","process temp. (°c)","etching rate (å/cycle)"
"Fluorocarbon assisted atomic layer etching of SiO2 and Si using cyclic Ar/C4F8 and Ar/CHF3 plasma - Contribution","C4F8/Ar plasma","Ar plasma","10","2.5"
"Fluorocarbon assisted atomic layer etching of SiO2 and Si using cyclic Ar/C4F8 and Ar/CHF3 plasma - Contribution","CHF3/Ar plasma","Ar plasma","10","3.5"
"Discharge physics and atomic layer etching in Ar/C4F6 inductively coupled plasmas with a radio frequency bias - Contribution","C4F6/Ar plasma","Ar plasma","-10","13"
"Achieving ultrahigh etching selectivity of SiO2 over Si3N4 and Si in atomic layer etching by exploiting chemistry of complex hydrofluorocarbon precursors - Contribution","C4F8/Ar plasma","Ar plasma","10","2.6"
"Achieving ultrahigh etching selectivity of SiO2 over Si3N4 and Si in atomic layer etching by exploiting chemistry of complex hydrofluorocarbon precursors - Contribution","C4F8/H2/Ar plasma","Ar plasma","10","1.6"
"Achieving ultrahigh etching selectivity of SiO2 over Si3N4 and Si in atomic layer etching by exploiting chemistry of complex hydrofluorocarbon precursors - Contribution","C3H3F3/Ar plasma","Ar plasma","10","1.2"
"Quasi atomic layer etching of SiO2 using plasma fluorination for surface cleaning - Contribution","CHF3 plasma","O2 plasma","RT","6.8"
"Quasi atomic layer etching of SiO2 using plasma fluorination for surface cleaning - Contribution","CHF3 plasma","Ar plasma","RT","4"
"Atomic layer etching of SiO2 using trifluoroiodomethane - Contribution","CF3I/Ar plasma","O2 plasma","40","9.3"
"Plasma atomic layer etching of SiO2 and Si3N4 with heptafluoropropyl methyl ether (C3F7OCH3) - Contribution","C4F8 plasma","Ar plasma","RT","5.8"
"Plasma atomic layer etching of SiO2 and Si3N4 with heptafluoropropyl methyl ether (C3F7OCH3) - Contribution","CHF3 plasma","O2 plasma","RT","4.1"
"Plasma atomic layer etching of SiO2 and Si3N4 with heptafluoropropyl methyl ether (C3F7OCH3) - Contribution","n-C3F7OCH3 plasma","O2 plasma","RT","2.1"
"Plasma Atomic Layer Etching of SiO<sub>2</sub> and Si<sub>3</sub>N<sub>4</sub> with Low Global Warming C<sub>4</sub>H<sub>3</sub>F<sub>7</sub>O Isomers - Contribution","n-C3F7OCH3 plasma","Ar plasma","RT","2.1"
"Plasma Atomic Layer Etching of SiO<sub>2</sub> and Si<sub>3</sub>N<sub>4</sub> with Low Global Warming C<sub>4</sub>H<sub>3</sub>F<sub>7</sub>O Isomers - Contribution","i-C3F7OCH3 plasma","Ar plasma","RT","1.8"
"Plasma Atomic Layer Etching of SiO<sub>2</sub> and Si<sub>3</sub>N<sub>4</sub> with Low Global Warming C<sub>4</sub>H<sub>3</sub>F<sub>7</sub>O Isomers - Contribution","CF3CF2CF2CH2OH plasma","Ar plasma","RT","5.2"
