Precursor chemistries for fluorination,Removal,Process temp. (°C),Etching rate (Å/cycle),Ref
C4F8/Ar plasma,Ar plasma,10,2.5,[24]
CHF3/Ar plasma,Ar plasma,10,3.5,[24]
C4F6/Ar plasma,Ar plasma,-10,13,[40]
C4F8/Ar plasma,Ar plasma,10,2.6,[31]
C4F8/H2/Ar plasma,Ar plasma,10,1.6,[31]
C3H3F3/Ar plasma,Ar plasma,10,1.2,[31]
CHF3 plasma,O2 plasma,RT,6.8,[30]
CHF3 plasma,Ar plasma,RT,4.0,[30]
CF3I/Ar plasma,O2 plasma,40,9.3,[41]
C4F8 plasma,Ar plasma,RT,5.8,[8]
CHF3 plasma,O2 plasma,RT,4.1,[8]
n-C3F7OCH3 plasma,O2 plasma,RT,2.1,[8]
n-C3F7OCH3 plasma,Ar plasma,RT,2.1,[43]
i-C3F7OCH3 plasma,Ar plasma,RT,1.8,[43]
CF3CF2CF2CH2OH plasma,Ar plasma,RT,5.2,[43]
