Materials,Direction,Reaction,Removal,Process Temperature (°C),EPC (Å/cycle),Time of cycle,Reference
Co,Anisotropy,O2,Formic acid,80,28,"350 sec",17
Co,Isotropy,Cl2,hfacH,140,2,"95 sec",32
Fe,Anisotropy,O2,Formic acid,80,42,"350 sec",17
Pd,Anisotropy,O2,Formic acid,80,12,"350 sec",17
Pt,Anisotropy,O2,Formic acid,80,5,"350 sec",17
Cr,Anisotropy,O2,Cl2,RT,1.1,"40 sec",28
W,Isotropy,O2,WF6,300,6.3,"320 sec",33
W,Isotropy,"O2/O3","BCl3 → HF",207,2.5,"325 sec",31
W,Anisotropy,NF3,O2,RT,2.6,"40 sec",29
W,Anisotropy,Cl2,Ar,60,2.1,"25 sec",26
Cu,Isotropy,O2,Hfac,275,0.9,"11 min",34
Cu,Anisotropy,Acetic acid,O2-GCIB,RT,0.7,"92 sec",30
TiN,Isotropy,O3,HF,250,0.15,"64 sec",18
AlN,Isotropy,HF,Sn(acac)2,275,0.36,"280 sec",19
