Selectivity of material,Selectivity,Improving etch selectivity method,Precursor chemistries for fluorination,Removal,Ref
SiO2/Si3N4,0.2–15.0,"Precursor selection; Fluorocarbon film thickness; Ion energy; Etching step time",C4F8/Ar plasma,Ar plasma,[24]
SiO2/Si3N4,0.2–15.0,"Precursor selection; Fluorocarbon film thickness; Ion energy; Etching step time",CHF3/Ar plasma,Ar plasma,[24]
SiO2/Si3N4,>7.0,Precursor selection,C4F8/Ar plasma,Ar plasma,[31]
SiO2/Si3N4,>7.0,Precursor selection,C4F8/H2/Ar plasma,Ar plasma,[31]
SiO2/Si3N4,>7.0,Precursor selection,C3H3F3/Ar plasma,Ar plasma,[31]
SiO2/Si,>10.0,Precursor selection,C4F8/Ar plasma,Ar plasma,[31]
SiO2/Si,>10.0,Precursor selection,C4F8/H2/Ar plasma,Ar plasma,[31]
SiO2/Si,>10.0,Precursor selection,C3H3F3/Ar plasma,Ar plasma,[31]
SiO2/Si,2.6–17.5,Precursor selection,C4F8 plasma,Ar plasma,[8]
SiO2/Si,2.6–17.5,Precursor selection,CHF3 plasma,O2 plasma,[8]
SiO2/Si,2.6–17.5,Precursor selection,C3F7OCH3 plasma,O2 plasma,[8]
SiO2/Si,17.5,Precursor selection,n-C3F7OCH3 plasma,Ar plasma,[43]
SiO2/Si,102.8,Precursor selection,i-C3F7OCH3 plasma,Ar plasma,[43]
SiO2/Si,3.4,Precursor selection,CF3CF2CF2CH2OH plasma,Ar plasma,[43]
SiO2/Si3N4,2.1–4.5,Selective deposition (benzaldehyde),C4F8/Ar plasma,Ar plasma,[38]
